非晶态装甲云	Amorphous Armorcloud
无法设置'UNIT'的护盾恢复，恢复倍率为0。	Could not set unit shield regen on 'UNIT', multiplier is zero.
无法支付'FUNC'参数中指定的花费	Could not afford to spend cost for 'OBJ' from parameter in 'FUNC'
状态事件中的数据条目过多(最多COUNT)	Too many data entries in stat event (COUNT max)
状态统计数据过多(最多COUNT)	Too many stats (COUNT max)
执行函数%1时，动画查询次数已过多。(最多%2)	Too many animation queries already preformed (%2 max) when calling function %1
DIRECTORY中的日志文件太多 (最多COUNT个)	Too many log files within DIRECTORY (COUNT max)
用于路径显示的路点过多(最多COUNT)	Too many path display waypoints (COUNT max)
运行的电影片段过多 (最多COUNT个)	Too many cinematic sequences run (COUNT max)
声音文件创建过多(最多COUNT个)	Too many sounds created (COUNT max)
正在尝试获取一个类型为'PROPERTYTYPE'的属性，该类型不是正确类型。	Attempting to get a property of type 'PROPERTYTYPE', which is not the right type.
正在尝试为类型'PROPERTYTYPE'赋一个属性值，该类型不是正确类型。	Attempting to set a property to type 'PROPERTYTYPE', which is not the right type.
单位'UNIT'没有技能命令'ABILCMD'	The unit 'UNIT' does not have ability command 'ABILCMD'
指定的单位类型无效: 'TYPE'	Invalid unit type specified: 'TYPE'
对话状态 (STATE)	Conversation State (STATE)
事件：EVENT触发FUNCTION	Event: EVENT triggered FUNCTION
常规事件(NAME)	Generic Event (NAME)
地图初始化	Map Initialization
玩家AI波次(PLAYER, WAVE)	Player A.I. Wave (PLAYER, WAVE)
玩家结盟(PLAYER, ALLIANCE)	Player Alliance (PLAYER, ALLIANCE)
聊天消息(PLAYER,TEXT)	Chat Message (PLAYER, TEXT)
剩余玩家(PLAYER, RESULT)	Player Left (PLAYER, RESULT)
玩家属性(PLAYER,PROPERTY)	Player Property (PLAYER, PROPERTY)
玩家跳过触发器(PLAYER, TRIGGER)	Player Skipped Trigger (PLAYER, TRIGGER)
计时器 (DURATION, 周期： PERIODIC)	Timer (DURATION, Periodic: PERIODIC)
触发器运行作弊	Trigger Run Cheat
触发器执行	Trigger Execute
杂项触发器执行	Misc Trigger Execute
单位技能自动施放变更(UNIT, ABILITY, CHANGE)	Unit Ability Auto Cast Change (UNIT, ABILITY, CHANGE)
单位技能阶段(UNIT, ABILITY, STAGE)	Unit Ability Stage (UNIT, ABILITY, STAGE)
单位所获目标(UNIT, TARGET)	Unit Acquired Target (UNIT, TARGET)
被攻击的单位(UNIT, TARGET, WEAPON)	Unit Attacked (UNIT, TARGET, WEAPON)
已改变的单位属性(UNIT, PLAYER, BEHAVIOR, POINTS)	Unit Attribute Changed (UNIT, PLAYER, BEHAVIOR, POINTS)
单位进入空闲状态(UNIT, IDLE)	Unit Becomes Idle (UNIT, IDLE)
单位装载 (UNIT,CARGO,STATE)	Unit Cargo (UNIT, CARGO, STATE)
单位更换了所有者 (UNIT, OLDPLAYER --> NEWPLAYER)	Unit Changed Owner (UNIT, OLDPLAYER --> NEWPLAYER)
被点击的单位 (UNIT, PLAYER)	Unit Clicked (UNIT, PLAYER)
单位行为吸收伤害 (UNIT, BEHAVIOR, AMOUNT, SOURCE)	Unit Behavior Absorbed Damage (UNIT, BEHAVIOR, AMOUNT, SOURCE)
受伤/死亡单位(UNIT, AMOUNT, ITEM)	Unit Damaged/Died (UNIT, AMOUNT, ITEM)
高亮单位 (PLAYER, UNIT, STATE)	Unit Highlighted (PLAYER, UNIT, STATE)
单位物品栏变更 (PLAYER, UNIT, TYPE, ITEM, TARGET)	Unit Inventory Change (PLAYER, UNIT, TYPE, ITEM, TARGET)
已命令单位 (UNIT, ORDER)	Unit Ordered (UNIT, ORDER)
单位能量提升 (UNIT, POWERU)	Unit Powerup (UNIT, POWERUP)
单位进度 (UNIT, TYPE, STATE, OBJECT)	Unit Progress (UNIT, TYPE, STATE, OBJECT)
装备弹仓	Arm Magazine
完成	Complete
{无}	{none}
重载单位	Retrain Cargo
未知舞台	Unknown Stage
开始	Start
未知类型	Unknown Type
单位属性改变(UNIT, PROPERTY)	Unit Property Changed (UNIT, PROPERTY)
单位范围 (UNIT, FROM, RANGE, STATE)	Unit Range (UNIT, FROM, RANGE, STATE)
单位区域 (UNIT, REGION, STATE)	Unit Region (UNIT, REGION, STATE)
已移除单位 (UNIT)	Unit Removed (UNIT)
单位已复活 (UNIT)	Unit Revived (UNIT)
已选单位 (PLAYER, UNIT, STATE)	Unit Selected (PLAYER, UNIT, STATE)
单位已开始攻击(UNIT, TARGET, WEAPON)	Unit Started Attack (UNIT, TARGET, WEAPON)
范围内单位目标 (UNIT)	Unit Target In Range (UNIT)
单位获得经验 (UNIT, PLAYER, BEHAVIOR, XPDELTA, XPTOTAL, LEVEL)	Unit Gained Experience (UNIT, PLAYER, BEHAVIOR, XPDELTA, XPTOTAL, LEVEL)
未知事件	Unknown Event
运行FUNCTION(事件：EVENT)	Running FUNCTION (Event: EVENT)
Invalid Global Variable	Invalid Global Variable
无效的单位属性获取：PROPSTRING (PROPNUMBER)	Invalid unit prop get: PROPSTRING (PROPNUMBER)
无效的单位属性获取类型：PROPSTRING (PROPNUMBER)	Invalid unit prop get type: PROPSTRING (PROPNUMBER)
无效的单位属性设置：PROPSTRING (PROPNUMBER)	Invalid unit prop set: PROPSTRING (PROPNUMBER)
添加/移除断点	Add/Remove Breakpoint
添加表	Add Watch
跳转执行至此	Jump Execution Here
继续执行	Resume Execution
运行至此	Run To Here
进入并单步执行函数	Step Into Function
跳出并单步执行函数	Step Out Of Function
越线步骤	Step Over Line
禁用所有断点	Disable All Breakpoints
禁用断点	Disable Breakpoint
启用所有断点	Enable All Breakpoints
启用断点	Enable Breakpoint
启用/禁用断点	Enable/Disable Breakpoint
展开/折叠	Expand/Collapse
清除	Clear
复制	Copy
显示错误	Show Errors
显示事件	Show Events
显示事件(库)	Show Events (Libraries)
显示触发信息	Show Triggers
显示触发器(库)	Show Triggers (Libraries)
全选	Select All
显示游戏时间	Show Game Time
显示游戏循环	Show Game Loop
没有时间标签	No Time Stamp
显示实时时间	Show Real Time
显示用户输出	Show User Output
显示变量	Show Variables
移除所有断点	Remove All Breakpoints
移除断点	Remove Breakpoint
移除表	Remove Watch
运行触发器	Run Trigger
10秒	10 seconds
30秒	30 seconds
5分钟	5 minutes
缩放至合适大小	Fit To Size
显示常量	Show Constants
显示外部信息	Show External
显示固有函数	Show Natives
显示子调用	Show SubCalls
切换断点	Toggle Breakpoint
切换十六进制视图	Toggle Hex View
查看ASM	View ASM
查看断点	View Breakpoint
查看脚本	View Script
查看选中内容	View Selection
中央视图面板:	Center View Pane:
左侧视图面板:	Left View Pane:
右侧视图面板:	Right View Pane:
军费	Credits
课程得分	Curriculum Score
生命值设置	Handicap
矿物	Minerals
补给上限	Supplies Limit
基地:	Base:
函数:仅基地	Func: Base-Only
本地:	Native:
脚本:	Script:
无效参数	Invalid-Ref
有效参数	Valid-Ref
c: (X, Y), r: RADIUS	c: (X, Y), r: RADIUS
Complex (X、Y)	Complex (X, Y)
c: (X, Y), w: WIDTH, h: HEIGHT	c: (X, Y), w: WIDTH, h: HEIGHT
min: (MINX, MINY), max: (MAXX, MAXY)	min: (MINX, MINY), max: (MAXX, MAXY)
文档:	File:
线:	Line:
调用堆栈太深，无法显示	Callstack too deep to display
无效的变量	Invalid Variable
全局::	Global ::
全局::未知	Global :: Unknown
全局Var	GlobalVar
无效的函数？	Invalid Function?
无效的位置？	Invalid Location?
//无文档载入。	// No File Loaded.
//保存/加载或录像倒退后无法调试脚本	// Can't debug scripts after save/load or replay rewind.
不在断点上。	Not at breakpoint
不在当前调用栈上	Not in current callstack
脚本代码：	Script code:
内存 - 代码：MEMCODE%，全局：MEMGLOB%	Memory - Code: MEMCODE%, Globals: MEMGLOB%
，本地：MEMLOC% (深度：DEPTH)	, Locals: MEMLOC% (Depth: DEPTH)
AI时间：TIME	A.I. Time: TIME
游戏时间: TIME	Game Time: TIME
(已暂停)	(Paused)
地址	Address
位置	Location
条件	Condition
函数/全局	Function / Global
偏移	Offset
值为引用	IsRef
StackPos	StackPos
函数分析	Function Profiling
队列	Queue
触发器分析	Trigger Profiling
脚本代码	Script Code
触发器调试	Trigger Debugging
触发器库无法初始化：	Trigger library could not be initialized:
COUNT个单位	COUNT units
加速	Acceleration
能量	Energy
能量最大	Energy Max
能量%	Energy %
能量回复	Energy Regen
生命值回复	Life Regen
最高速度	Max Speed
当前速度	Current Speed
残余	Scrap
最大残余	Scrap Max
护盾最大值	Shields Max
护盾%	Shields %
护盾回复	Shields Regen
转换率	Turn Rate
未知数据集文件	Unknown Bank
无效存储！	Invalid Memory!
未知玩家	Unknown Player
未知属性	Unknown Property
未知区域	Unknown Region
未知声音	Unknown Sound
未知线程	Unknown Thread
未知触发器	Unknown Trigger
未知单位	Unknown Unit
ABIL (INDEX)	ABIL (INDEX)
targ:(X, Y), dist:DIST, aoa:AOA, rot:ROT	targ:(X, Y), dist:DIST, aoa:AOA, rot:ROT
'VALUE'	'VALUE'
a:ALPHA、r:RED、g:GREEN、b:BLUE	a:ALPHA, r:RED, g:GREEN, b:BLUE
(空)	(empty)
FALSE	false
无效	invalid
(Y，X)	(X, Y)
玩家：PLAYER，区域[ REGION ]	Player: PLAYER, Region[ REGION ]
ELAPSED / DURATION	ELAPSED / DURATION
(expired)	(expired)
(paused)	(paused)
(+)	(+)
TRUE	true
NAME(玩家 PLAYER) (ID TAG)	NAME (Player PLAYER) (Id TAG)
req: REQUIRED, excl: EXCLUDED	req: REQUIRED, excl: EXCLUDED
数据集文件 (NAME; 玩家: PLAYER)	Bank (NAME; Player: PLAYER)
Cinematic (ID)	Cinematic (ID)
对话 (ID)	Conversation (ID)
网络(玩家： PLAYERS)	Network (Player: PLAYERS)
头像 (ID)	Portrait (ID)
队列(位置： POS)	Queue (Position: POS)
声音：SOUND	Sound: SOUND
音轨	Soundtrack
TIME	TIME
TIME (AI)	TIME (AI)
TIME (游戏)	TIME (Game)
TIME (现实)	TIME (Real)
通讯 (ID)	Transmission (ID)
触发器执行(TRIGGER， 完成： DONE)	Trigger Execution (TRIGGER, Done: DONE)
单位空闲： UNIT (Idle： IDLE)	Unit Idle: UNIT (Idle: IDLE)
单位组空闲 (Count： COUNT/TOTAL， Idle： IDLE)	Unit Group Idle (Count: COUNT/TOTAL, Idle: IDLE)
脚本编译警告：ERROR	Script compile warning: ERROR
1024x768 (4:3)	1024x768 (4:3)
1280x1024 (5:4)	1280x1024 (5:4)
1280x720 (16:9)	1280x720 (16:9)
1280x960 (4:3)	1280x960 (4:3)
1600x1200 (4:3)	1600x1200 (4:3)
1600x900 (16:9)	1600x900 (16:9)
1920x1080 (16:9)	1920x1080 (16:9)
1920x1200 (16:10)	1920x1200 (16:10)
2560x1440 (16:9)	2560x1440 (16:9)
3840x2160 (16:9)	3840x2160 (16:9)
3D	3D
480x360 (4:3)	480x360 (4:3)
640x360 (16:9)	640x360 (16:9)
640x480 (4:3)	640x480 (4:3)
640x512 (5:4)	640x512 (5:4)
800x600 (4:3)	800x600 (4:3)
960x540 (16:9)	960x540 (16:9)
960x768 (5:4)	960x768 (5:4)
返回主命令面板。	Go back to main commands.
高级AI指令	Advanced A.I. Orders
额外AI友方信标/命令。	Additional A.I. Ally beacons/commands.
<s val="@@StandardTooltipHeader">部队</s><n/>	<s val="@@StandardTooltipHeader">Army</s><n/>
命令部队攻击或防御一个指定目标位置。如果你指定一个友方单位，AI部队将会跟随该单位并实施保护。	Orders army to attack or defend a targeted location. If you target a friendly unit the A.I. army will follow that unit and defend it.
投入全部兵力袭击<c val="ff6000">(部队战术)</c>	All-In Assault  <c val="ff6000">(Army Strategy)</c>
派遣所有部队攻击一个地点。<n/>甚至意味着葬送部队。<n/><c val="ff6000">每次只能激活一项"部队战术"。</c>	All out attack a location.<n/>Even if that means suiciding units.<n/><c val="ff6000">Only one "Army Strategy" can be active at once.</c>
电脑控制	ComputerControl
AI将会按照其意愿进行攻击和防御。<n/>	A.I. will attack and defend as it desires.<n/>
<s val="@@StandardTooltipHeader">取消</s><n/>	<s val="@@StandardTooltipHeader">Cancel</s><n/>
<s val="@@StandardTooltipHeader">删除</s><n/>	<s val="@@StandardTooltipHeader">Delete</s><n/>
删除所有此类信标。	Delete all beacons of this type.
删除所有此类信标。<n/><c val="ff0000">没有放置此类信标。</c>	Delete all beacons of this type.<n/><c val="ff0000">No beacons of this type have been placed.</c>
<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   放置信标<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   取消	<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   Place Beacon<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   Cancel
放置BEACON信标	Place BEACON Beacon
取消动作并返回主命令面板。	Cancel action and return to main commands.
<s val="@@StandardTooltipHeader">建造选项</s></n>	<s val="@@StandardTooltipHeader">Build Options</s></n>
为AI选择建造选项。	Select build options for the A.I.
为AI选择建造选项<n/><c val="ff0000">已禁用</c>	Select build options for the A.I.<n/><c val="ff0000">Disabled</c>
所有AI玩家	All A.I. Players
无效玩家？	Invalid Player?
指挥中：PLAYER	Commanding:  PLAYER
占领	Claim
派遣一个侦察单位来获得一片区域的永久视野和/或占领一座萨尔纳加瞭望塔。	Sends a scout to permanently view an area and/or claim a Xel'Naga Tower.
<s val="@@StandardTooltipHeader">清除所有信标</s><n/>	<s val="@@StandardTooltipHeader">Clear All Beacons</s><n/>
清除所有信标并返回AI全自动模式。	Clears all beacons and returns full control to the A.I.
清除所有信标并返回AI全自动模式。<n/><c val="ff0000">无已放置信标，AI正处于全自动模式中。</c>	Clears all beacons and returns full control to the A.I.<n/><c val="ff0000">No beacons placed. The A.I. is controlling its forces.</c>
开启AI沟通 AICOMMKEY<n/><n/>直接快捷键：<n/>部队 ARMYKEY  侦察 SCOUTKEY<n/>侦测 DETECTKEY  扩张 EXPANDKEY	Open A.I. Communication AICOMMKEY<n/>-----------------------------------------------------------<n/>Direct Shortcut Hotkeys:<n/>Army ARMYKEY       Scout SCOUTKEY<n/>Detect DETECTKEY  Expand EXPANDKEY
盟友状态和选择<n/>当前此电脑盟友的状态。<n/>点击这里进入此盟友的信标模式。	Ally Status and Selection<n/>Current status of this computer ally.<n/>Clicking here will enter BeaconMode for this specific ally.
取消还未响应的电脑盟友发出的资源请求。	Cancel outstanding resource requests from computer allies.
离开信标模式并选择你的DROPOFF。再次按下将在所有DROPOFF中循环切换。你也可以手动选择任何单位来离开信标模式。	Leave BeaconMode and Select one of your DROPOFF. Pressing again will cycle through all DROPOFF. You can also manually select any unit to leave BeaconMode.
信标模式	BeaconMode
进入信标模式，你就能和你的电脑盟友产生互动，包括放置信标，让他们执行。	Enter BeaconMode where you can interact with your computer allies, including placing beacons for them to obey.
请求资源：	Request Resources:
点击请求晶体矿，电脑盟友将尽快响应你。	Click to request minerals, computer allies will get to these asap.
未响应的晶体矿和瓦斯需求，电脑盟友会尽快响应此需求。	Outstanding mineral and vespene requests, computer allies will get to these asap.
点击请求瓦斯，电脑盟友将尽快响应你。	Click to request vespene, computer allies will get to these asap.
使用以上按钮来选中需要下达命令的AI。	Use above buttons to select A.I. to order.
<s val="@@StandardTooltipHeader">防御</s>  <c val="ff6000">(部队战术)</c>	<s val="@@StandardTooltipHeader">Defend</s>  <c val="ff6000">(Army Strategy)</c>
