非晶态装甲云	Armure de brume
一切源于你们理解与支持！	VOTRE PATIENCE ET VOTRE COMPRÉHENSION INFINIES ONT RENDU TOUT CELA POSSIBLE. ON VOUS AIME !
动视暴雪销售部	VENTES AB
其他行政	ADMINISTRATION ADDITIONNELLE
其他兼容性分析师	ANALYSE DE LA COMPTABILITÉ ADDITIONNELLE
其他数据库管理	ADMINISTRATION DE LA BASE DE DONNÉES ADDITIONNELLE
其他工程师	INGÉNIERIE ADDITIONNELLE
其他电子竞技管理人员	MANAGER DE L’ESPORT ADDITIONNEL
其他帮助	AIDE ADDITIONNELLE
其他实施人员	IMPLÉMENTATION ADDITIONNELLE
其他信息服务技术人员	TECHNICIEN DES SERVICES D’INFORMATION ADDITIONNEL
其他信息系统管理	ADMINISTRATION DES SYSTÈMES D’INFORMATION ADDITIONNELLE
其他游戏内项目总监	DIRECTEUR DU PROJET EN JEU ADDITIONNEL
其他前置视觉化人员	PRE-VISUALISATION ADDITIONNELLE
其他音效设计师	RESPONSABLES DE LA CONCEPTION DU SON ADDITIONNELS
其他音效制作人	PRODUCTEURS DU SON ADDITIONNELS
其他管理人员	SUPERVISION ADDITIONNELLE
其他支持人员	ASSISTANCE ADDITIONNELLE
其他技术分析人员	ANALYSTES TECHNIQUES ADDITIONNELS
其他测试人员	TESTS ADDITIONNELS
Adam Bitterman, Chris Metzen, Christopher Smith, Daniel Riordan, David Lodge, Debra Wilson, Gideon Emery, Glenn Stafford, Ike Amadi, Isaac Singleton Jr., Jason Miller, Keith Silverstein, Liam O’brien, Lloyd Sherr, Mark Mintz, Neil Kaplan, Pat Pinney, Peter Jessop, Tom Bromhead, Yuri Lowenthal	Antoine Tomé, Benoit Allemane, Bruno Choel, Bruno Méyère, Cédric Dumond, Christophe Peyroux, François Jaubert, Franz Confiac, Gilbert Levy, Jean-François Vlérick, Juliette Degenne, Martial Le Minoux, Olivier Peissel, Pascal Germain, Patrick Borg, Philippe Roullier, Pierre Alam, Pierre Dourlens, Stéphanie Hedin, Véronique Augereau
其他工作	TRAVAUX ADDITIONNELS PAR
欧洲行政	ADMINISTRATION, EU
大中华区以及东南亚行政	ADMINISTRATION, CN & SEA
韩国行政	ADMINISTRATION, KR
北美行政	ADMINISTRATION, NA
分析经理	MANAGER DES STATISTIQUES
分析软件工程师	INGÉNIEURS LOGICIEL STATISTIQUES
分析用户体验设计师	CONCEPTION DES STATISTIQUES EXPÉRIENCE UTILISATEUR
艺术编辑	ÉDITEUR ARTISTIQUE
美工	CONCEPTION GRAPHIQUE
艺术组长	RESPONSABLE ARTISTIQUE
艺术经理	MANAGER DE LA CONCEPTION GRAPHIQUE
艺术/视觉设计	CONCEPTION GRAPHIQUE/VISUELLE
亚太	ASIE-PACIFIQUE
助理兼容性团队组长	RESPONSABLE DE L’ÉQUIPE COMPATIBILITÉ
助理客户服务经理	ASSISTANT MANAGER SERVICE CLIENTÈLE
助理战网首席质量监控分析师	RESPONSABLES ASSISTANTS DES ANALYSTES DE L’ASSURANCE QUALITÉ, BATTLE.NET
助理虫群之心首席质量监控分析师	RESPONSABLES ASSISTANTS DES ANALYSTES DE L’ASSURANCE QUALITÉ, HEART OF THE SWARM
助理用户体验首席质量监控分析师	RESPONSABLES ASSISTANTS DES ANALYSTES DE L’ASSURANCE QUALITÉ, EXPÉRIENCE UTILISATEUR
助理培训专员	SPÉCIALISTES FORMATION ASSOCIÉS
澳大利亚和新西兰	AUSTRALIE ET NOUVELLE-ZÉLANDE
阿列克谢·斯托科夫	Alexei Stukov
虫祖祖尔温	L’Ancien / Zurvan
Frank Welker	Benoit Allemane
低音提琴	BASSES
战网 - 中国团队	BATTLE.NET - ÉQUIPE CHINE
战网 - 欧洲团队	BATTLE.NET - ÉQUIPE EUROPE
战网 - 韩国团队	BATTLE.NET - ÉQUIPE CORÉE
战网 - 中国台湾团队	BATTLE.NET - ÉQUIPE TAÏWAN
暴雪学院	BLIZZARD ACADEMY
暴雪台湾客户支持	ASSISTANCE CLIENTÈLE BLIZZARD TAÏWAN
巴西葡萄牙语	PORTUGAIS BRÉSILIEN
巴西葡萄牙语（ALPHA CRC）	PORTUGAIS BRÉSILIEN (ALPHA CRC)
巴西葡萄牙语配音演员	DOUBLAGE PORTUGAIS BRÉSILIEN
商务分析	ANALYSTES ÉCONOMIQUES
商务总监	DIRECTEUR COMMERCIAL
商业情报 - 中国	VEILLE ÉCONOMIQUE - CN
商业情报和风险控制	VEILLE ÉCONOMIQUE & GESTION DES RISQUES
商业情报和风险控制 - 欧洲	VEILLE ÉCONOMIQUE & GESTION DES RISQUES - EU
商务系统分析师	ANALYSTES DES SYSTÈMES ÉCONOMIQUES
巴拉克	Brakk / Yagdra
Jim Ward	Olivier Peissel
首席创意官	DIRECTEUR DE LA CRÉATION
首席发展官	DIRECTEUR DU DÉVELOPPEMENT
影片项目总监	DIRECTION DU PROJET DES CINÉMATIQUES
影片重录混音师	INGÉNIEUR DU SON RESPONSABLE DU RÉ-ENREGISTREMENT DES CINÉMATIQUES
影片脚本	SCÉNARIO DES CINÉMATIQUES
影片音效	SON DES CINÉMATIQUES
影片音效编辑	MONTAGE SONORE DES CINÉMATIQUES
影片音效制作人	PRODUCTION DU SON DES CINÉMATIQUES
兼容性分析师	ANALYSE DE LA COMPTABILITÉ
兼容性团队组长	RESPONSABLE DE L’ÉQUIPE COMPATIBILITÉ
合规部	COMPLIANCE
作曲 - 影片	COMPOSITEURS - CINÉMATIQUES
战网内容专员	SPÉCIALISTES CONTENU, BATTLE.NET
虫群之心内容专员	SPÉCIALISTES CONTENU, HEART OF THE SWARM
用户体验内容专员	SPÉCIALISTE CONTENU, EXPÉRIENCE UTILISATEUR
合同员工	SOUS-TRAITANT
客服运营和报告经理	RESPONSABLE DES RAPPORTS ET OPÉRATIONS DE L’ASSISTANCE CLIENTÈLE
客服运营组长	RESPONSABLE DES OPÉRATIONS, ASSISTANCE CLIENTÈLE
客服项目和服务级协调团队经理	MANAGER DE L’ÉQUIPE PROJETS DE L’ASSISTANCE CLIENTÈLE ET DES COORDINATEURS AU NIVEAU DU SERVICE
策展	CONSERVATEUR
记录管理员	RESPONSABLE DES DOSSIERS
客户关怀及忠诚度团队成员	MEMBRES DE L’ÉQUIPE FIDÉLISATION ET SATISFACTION CLIENTÈLE
爱尔兰客户服务总监	DIRECTEUR DE L’ASSISTANCE CLIENTÈLE, IRLANDE
客户服务培训经理	MANAGER DE LA FORMATION DU SERVICE CLIENTÈLE
中国客户服务经理	MANAGER SERVICE CLIENTÈLE CHINE
美洲客户支持培训和信息人员	FORMATION ET INFORMATION DE L'ASSISTANCE CLIENTÈLE, AMÉRIQUES
美洲客户支持人员	ASSISTANCE CLIENTÈLE, AMÉRIQUES
地区计划和支持部门经理	MANAGER DU DÉPARTEMENT PLANIFICATION RÉGIONALE ET ASSISTANCE
主设计师	CHEF DE LA CONCEPTION
开发团队联系人	ÉQUIPE DE DÉVELOPPEMENT ET DE LIAISON
对话编辑和设计	CONCEPTION ET ÉDITION DES DIALOGUES
对话录音和编辑	ENREGISTREMENT ET ÉDITION DES DIALOGUES
商业情报和风险控制总监	DIRECTEUR DE LA VEILLE ÉCONOMIQUE ET GESTION DES RISQUES
联络和公共事务总监	DIRECTION, COMMUNICATIONS ET AFFAIRES PUBLIQUES
欧洲财务总监	DIRECTEUR, FINANCES EUROPE
大中华区和东南亚财务总监	DIRECTEUR, FINANCES GRANDE CHINE & ASIE DU S-E
韩国财务总监	DIRECTEUR, FINANCES CORÉE
全球公司应用程序总监	DIRECTEUR, APPLICATIONS ENTREPRISE MONDE
全球编委总监	DIRECTEUR, ÉDITION MONDIALE
全球财务计划总监	DIRECTEUR, PLANNING FINANCIER MONDIAL
全球人力资源总监	DIRECTEUR, OPÉRATIONS RH MONDIALES
全球支持培训和信息总监	DIRECTEUR, ASSISTANCE, FORMATION ET INFORMATIONS MONDIALES
公共关系总监	DIRECTEUR DES RELATIONS PUBLIQUES
出版和运营总监	DIRECTEUR DE LA PUBLICATION ET DES OPÉRATIONS
科技总监	DIRECTION TECHNOLOGIQUE
运营和市场总监	DIRECTEUR, OPÉRATIONS ET MARKETING
灾难恢复	RÉCUPÉRATION DES DONNÉES
德哈卡/亚格卓拉	Dehaka
编委及内部交流经理	MANAGER DU SERVICE ÉDITION ET COMMUNICATIONS INTERNES
工程经理	MANAGERS DE L’INGÉNIERIE
欧洲地区客户关怀及忠诚度团队	ÉQUIPE SERVICE CLIENT ET PROGRAMME FIDÉLITÉ EUROPE
欧洲地区培训及拓展团队	ÉQUIPE DE FORMATION ET INFORMATIONS RÉGIONALE, EUROPE
执行行政助理	ADJOINT ADMINISTRATIF DE DIRECTION
执行助理经理	MANAGERS ADJOINT ADMINISTRATIF
执行团队	ÉQUIPE EXÉCUTIVE
全球出版执行副总裁	VICE-PRÉSIDENT EXÉCUTIF, PUBLICATION MONDIALE
外部活动经理	MANAGER DES ÉVÈNEMENTS EXTERNES
远征军首领	Chef de l’expédition
欧洲设备人员	INSTALLATIONS, EU
韩国设备人员	INSTALLATIONS, KR
影像和捕捉	TOURNAGE ET PRODUCTION
欧洲财务和会计	FINANCE ET COMPTABILITÉ, EUROPE
大中华区和东南亚财务和会计	FINANCE ET COMPTABILITÉ, GRANDE CHINE ET ASIE DU S-E
韩国财务和会计	FINANCE ET COMPTABILITÉ, CORÉE
北美财务和会计	FINANCE ET COMPTABILITÉ, AMÉRIQUE DU NORD
长笛独奏	SOLISTE FLÛTE
游戏设计	CONCEPTION DU JEU
游戏总监	DIRECTEUR DU JEU
游戏支持经理	MANAGERS DE L’ASSISTANCE DU JEU
全球客户服务运营团队	ÉQUIPE DES OPÉRATIONS ET DE L’ASSISTANCE CLIENTÈLE MONDIALE
全球政策委员会人员	ADMINISTRATEUR DU CONSEIL DE LA POLITIQUE MONDIALE
全球劳动力管理分析师	ANALYSTE DE LA GESTION DES EFFECTIFS MONDIAUX
图形设计师	CONCEPTEUR GRAPHIQUE
大中华区	GRANDE CHINE
地区计划和支持组经理	GROUP MANAGER, REGIONAL PLANNING AND SUPPORT
吉他和音乐组织	GUITARES ET TEXTURES
虫群之心产品分析师	ANALYSTES PRODUITS HEART OF THE SWARM
总部营销	MARKETING DU SIÈGE
北美洲人力资源科技	TECHNOLOGIE RH, AMÉRIQUE DU NORD
亚洲人力资源	RESSOURCES HUMAINES, ASIE
全球商务运营人力资源总监	DIRECTEUR DES RESSOURCES HUMAINES, OPÉRATIONS COMMERCIALES MONDIALES
产品开发人力资源总监	DIRECTEUR DES RESSOURCES HUMAINES, DÉVELOPPEMENT PRODUIT
欧洲人力资源	RESSOURCES HUMAINES, EUROPE
北美人力资源	RESSOURCES HUMAINES, AMÉRIQUE DU NORD
IA团队经理	CHEF D’ÉQUIPE DES AFFAIRES INTERNES
插画师	ILLUSTRATEURS
信息服务管理	ADMINISTRATION DES SERVICES D’INFORMATION
信息服务管理经理	MANAGER DE L’ADMINISTRATION DES SERVICES D’INFORMATION
信息服务工程师	INGÉNIERIE DES SERVICES D’INFORMATION
信息服务主工程师	RESPONSABLE DE L’INGÉNIERIE DES SERVICES D’INFORMATION
信息服务工程经理	MANAGER DE L’INGÉNIERIE DES SERVICES D’INFORMATION
信息服务实施	IMPLÉMENTATION DES SERVICES D’INFORMATION
信息服务实施经理	MANAGER DE L’IMPLÉMENTATION DES SERVICES D’INFORMATION
信息服务项目管理组长	RESPONSABLE DE LA GESTION DE PROJET DES SERVICES D’INFORMATION
信息服务项目经理	MANAGERS DE PROJET DES SERVICES D’INFORMATION
信息服务技术组长	TECHNICIENS DES SERVICES D’INFORMATION, RESPONSABLES
信息服务技术经理	TECHNICIENS DES SERVICES D’INFORMATION, MANAGER
信息服务技术员	TECHNICIENS DES SERVICES D’INFORMATION
信息服务技术主管	TECHNICIENS DES SERVICES D’INFORMATION, SUPERVISEUR
游戏艺术总监	DIRECTEURS ARTISTIQUES EN JEU
游戏美工	GRAPHISTES EN JEU
游戏影片部	DÉPARTEMENT CINÉMATIQUES EN JEU
游戏部门主管	SUPERVISEUR DU DÉPARTEMENT EN JEU
游戏制作人	PRODUCTEUR EN JEU
游戏项目总监	DIRECTEUR DE PROJETS EN JEU
游戏项目组长	RESPONSABLE DE PROJETS EN JEU
内部事务资深代表	REPRÉSENTANTS SENIORS DES AFFAIRES INTERNES
内部活动经理	MANAGER DES ÉVÈNEMENTS INTERNES
意大利语（SYNTHESIS）	ITALIEN (SYNTHESIS)
Karen Strassman	Marie Chevalot
JULIA FIGUEROA ST&LS	JULIA FIGUEROA ST&LS
核心处理人员	DISTRIBUTION DES CLÉS
核心请求	GESTION DES CLÉS
知识管理	GESTION DES CONNAISSANCES
韩国客户支持代表	AGENTS DE L’ASSISTANCE CLIENTÈLE CORÉE
韩国培训与拓展团队	ÉQUIPE DE FORMATION ET INFORMATIONS, CORÉE
韩国/东南亚客户支持	ASSISTANCE CLIENTÈLE CORÉE/ASIE DU SUD-EST
凯雷斯	Kraith
Richard Green	Philippe Roullier
拉丁美洲	AMÉRIQUE LATINE
拉丁美洲西班牙语配音演员	DOUBLAGE ESPAGNOL D’AMÉRIQUE LATINE
首席美工	RESPONSABLES DE LA CONCEPTION ARTISTIQUE
首席作曲人	RESPONSABLE DE LA COMPOSITION
首席工程师	RESPONSABLES DE L’INGÉNIERIE
主演	PREMIERS RÔLES
首席关卡设计师	RESPONSABLE DE LA CONCEPTION DES NIVEAUX
首席战网质量监控分析师	RESPONSABLE DES ANALYSTES DE L’ASSURANCE QUALITÉ, BATTLE.NET
首席虫群之心质量监控分析师	RESPONSABLE DES ANALYSTES DE L’ASSURANCE QUALITÉ, HEART OF THE SWARM
首席用户体验质量监控分析师	RESPONSABLE DES ANALYSTES DE L’ASSURANCE QUALITÉ, EXPÉRIENCE UTILISATEUR
首席音效设计师	RESPONSABLE DE LA CONCEPTION DU SON
本地化助理经理	ASSISTANTS MANAGERS LOCALISATION
本地化音效专员	SPÉCIALISTES AUDIO LOCALISATION
本地化内容编辑	ÉDITEURS DE CONTENUS LOCALISATION
本地化编辑	ÉDITEURS LOCALISATION
本地化组长	RESPONSABLES DE LA LOCALISATION
本地化经理	MANAGERS DE LA LOCALISATION
本地化外包人员	LOCALISATION EXTERNALISÉE
本地化和质监分析师	ANALYSTES LOCALISATION ET AQ
本地化质监主管	SUPERVISEURS LOCALISATION ET AQ
本地化主管	SUPERVISEURS DE LA LOCALISATION
麦金托什制作	PRODUCTION MACINTOSH
麦金托什团队组长	RESPONSABLE D’ÉQUIPE MACINTOSH
MAC团队	ÉQUIPE MAC
全球客服培训和信息经理	MANAGER, FORMATION & INFORMATIONS DE L’ASSISTANCE CLIENTÈLE MONDIALE
全球客服报告和分析经理	MANAGER, RAPPORTS & STATISTIQUES DE L’ASSISTANCE CLIENTÈLE MONDIALE
全球战略经理	MANAGER, STRATÉGIE MONDIALE
全球人才经理	MANAGER, RECRUTEMENT MONDIAL
总经理	DIRECTEUR GÉNÉRAL
媒体美工	CONCEPTEURS GRAPHIQUES MÉDIA
音乐仿制员/管理员	GESTION DES PARTITIONS/BIBLIOTHÈQUE
音乐编辑和实施	ÉDITION ET IMPLÉMENTATION MUSICALE
网络运行管理组长	RESPONSABLE DE L’ADMINISTRATION DES OPÉRATIONS RÉSEAU
网络运行管理主管	SUPERVISEUR DE L’ADMINISTRATION DES OPÉRATIONS RÉSEAU
网络运行中心经理	MANAGER DU CENTRE DES OPÉRATIONS RÉSEAU
网络运行中心主管	SUPERVISEURS DU CENTRE DES OPÉRATIONS RÉSEAU
网络运行数据库管理	ADMINISTRATION DE LA BASE DE DONNÉES DES OPÉRATIONS RÉSEAU
网络运行数据库管理经理	MANAGER DE L’ADMINISTRATION DE LA BASE DE DONNÉES DES OPÉRATIONS RÉSEAU
网络运行工程组长	RESPONSABLE DE L’INGÉNIERIE DES OPÉRATIONS RÉSEAU
网络运行工程经理	MANAGER DE L’INGÉNIERIE DES OPÉRATIONS RÉSEAU
网络运行实施	IMPLÉMENTATION DES OPÉRATIONS RÉSEAU
网络运行实施组长	RESPONSABLE DE L’IMPLÉMENTATION DES OPÉRATIONS RÉSEAU
网络运行项目管理组长	RESPONSABLE DE GESTION DE PROJET DES OPÉRATIONS RÉSEAU
网络运行项目经理	CHEFS DE PROJET DES OPÉRATIONS RÉSEAU
纳可图尔/克里莎/瑞罗斯	Naktul / reine zerg
Bonnie Cahoon	Malvina Germain
纳鲁德（人形态）	Narud (forme humaine)
纳鲁德（真形态）	Narud (forme véritable)
尼雅德拉/拉瑟拉	Niadra / Ryloth
Courtenay Taylor	Véronique Augereau
办公室协调员 - 奥斯丁	COORDINATION DES BUREAUX - AUSTIN
运营总监	DIRECTEUR DES OPÉRATIONS
原创音轨主管	BANDE ORIGINALE MASTÉRISÉE PAR
其他产品分析师	ANALYSE PRODUITS SUPPLÉMENTAIRES
Amy Rubinate	Laurence Bréheret
欧洲薪酬人员	PAYE, EUROPE
打击乐	PERCUSSIONS
波兰语（ALBION)	POLONAIS (ALBION)
制作	PRODUCTION
制作总监	DIRECTEUR DE LA PRODUCTION
音效制作总监	DIRECTEUR DE LA PRODUCTION DES AUDIOS
程序经理	MANAGERS DU PROGRAMME
项目分析师	ANALYSTE DE PROJETS
项目艺术总监	DIRECTION ARTISTIQUE DE PROJETS
项目编辑	ÉDITION DE PROJETS
项目组长	RESPONSABLES DE PROJETS
项目管理和分析	GESTION DE PROJETS ET STATISTIQUES
专业工具操作员/编辑	ÉDITEUR/OPÉRATEUR PRO TOOLS
公共事务	AFFAIRES PUBLIQUES
公共关系经理	MANAGERS DES RELATIONS PUBLIQUES
采购	ACHATS
欧洲采购和旅行人员	ACHATS ET VOYAGES, EUROPE
采购及设施	ACHATS ET INSTALLATIONS
区域客户服务总监	DIRECTEUR DE L’ASSISTANCE CLIENTÈLE RÉGIONALE
欧洲区域客户服务总监	DIRECTEUR DE L’ASSISTANCE CLIENTÈLE RÉGIONALE, EUROPE
美洲客户服务总监	DIRECTEUR DE L’ASSISTANCE CLIENTÈLE RÉGIONALE, AMÉRIQUES
区域信息服务经理	MANAGERS DES SERVICES D’INFORMATION RÉGIONALE
区域总经理	DIRECTEUR DE LA GESTION RÉGIONALE
区域网络运行经理	MANAGER DES OPÉRATIONS RÉSEAU RÉGIONALES
区域计划和支持项目经理	MANAGER DES PROJETS RÉGIONAUX DE STRATÉGIE ET D’ASSISTANCE
美洲区域计划和支持团队	ÉQUIPE RÉGIONALE DE STRATÉGIE ET D’ASSISTANCE, AMÉRIQUES
区域公共关系及交流副总裁	VICE-PRÉSIDENT RÉGIONAL, RELATIONS PUBLIQUES ET COMMUNICATION
报告分析师	ANALYSE DES RAPPORTS
韩国风险控制人员	RISQUES - CORÉE
雕塑家	SCUPTEUR
安全管理	ADMINISTRATION SECURITÉ
安全工程	INGÉNIERIE SECURITÉ
资深客服工具代表	REPRÉSENTANT SENIOR DES OUTILS DE L’ASSISTANCE CLIENTÈLE
资深客户关怀和忠诚度人员	AGENT SENIOR DU PROGRAMME FIDÉLITÉ CLIENT
全球信息科技资深总监	DIRECTEUR SENIOR, INFORMATIQUE MONDIALE
全球平台服务资深总监	DIRECTEUR SENIOR, SERVICE PLATE-FORME MONDIAL
全球采购及设施资深总监	DIRECTEUR SENIOR, ACHATS ET INSTALLATIONS MONDIALES
运营资深总监	DIRECTEUR SENIOR DES OPÉRATIONS
培训及信息资深专员	SPÉCIALISTE SENIOR FORMATION & INFORMATIONS
资深活动经理	MANAGER SENIOR, ÉVÈNEMENTS
全球客服项目管理和平台办公室资深经理	MANAGER SENIOR, GESTION MONDIALE DE PROGRAMME D’ASSISTANCE CLIENTÈLE ET SERVICE PLATE-FORME
资深全球设施经理	MANAGER SENIOR, INSTALLATIONS MONDIALES
资深全球内部交流经理	MANAGER SENIOR, COMMUNICATIONS INTERNES MONDIALES
资深全球网络运行和工程经理	MANAGER SENIOR, OPÉRATIONS ET INGÉNIERIE RÉSEAU MONDIALES
资深全球安全经理	MANAGER SENIOR, SÉCURITÉ MONDIALE
资深人力资源科技经理	MANAGER SENIOR, TECHNOLOGIE RH
资深公共事务经理	MANAGER SENIOR, AFFAIRES PUBLIQUES
资深平台服务经理	MANAGER SENIOR, SERVICE PLATE-FORME
资深程序员	PROGRAMMEURS SENIORS
资深项目经理	CHEF DE PROJET SENIOR
资深公共关系经理	MANAGERS DES RELATIONS PUBLIQUES SENIORS
资深区域计划和支持人员	PLANIFICATION RÉGIONALE ET ASSISTANCE, SENIOR
资深故事及品牌开发副总裁	VICE-PRÉSIDENT SENIOR, DÉVELOPPEMENT SCÉNARIO ET FRANCHISE
资深网站服务经理	MANAGER SENIOR DES SERVICES WEB
站点安全	SÉCURITÉ DES SITES
社交媒体和支持信息团队经理	MANAGER DE L’ÉQUIPE D’INFORMATION DE L’ASSISTANCE ET DES MÉDIAS SOCIAUX
音效设计师	CONCEPTEURS DE SONS
东南亚客户支持代表	AGENTS DE L’ASSISTANCE CLIENTÈLE ASIE DU SUD-EST
资深全球薪酬经理	MANAGER SENIOR, RÉCOMPENSES MONDIALES
资深项目制作人	PRODUCTEUR DE PROJETS SENIOR
《星际争霸II》团队	ÉQUIPE STARCRAFT II
故事开发人员	DÉVELOPPEMENT SCÉNARISTIQUE
故事组长	RESPONSABLE SCÉNARISTIQUE
战略开拓	INITIATIVES STRATÉGIQUES
开发反馈组组长	RESPONSABLE DU GROUPE DE TRAVAIL
录音工程师	INGÉNIEURS DU SON
音效设计师主管	CONCEPTEUR SONORE SUPERVISEUR
支持应用程序开发	DÉVELOPPEMENT D’APPLICATIONS D’ASSISTANCE
支持论坛代表	AGENTS DU FORUM DE L’ASSISTANCE
支持信息政策团队经理	INFORMATION DE L’ASSISTANCE, MANAGER D’ÉQUIPE PROCÉDURE
支持信息资深管理员	ADMINISTRATEURS SENIORS DE L’INFORMATION DE L’ASSISTANCE
辅助演出	SECONDS RÔLES
支持系统	SYSTÈMES ASSISTANCE
斯利凡	Slivan
Lani Minella	Pascal Germain
台湾客户服务	ASSISTANCE CLIENTÈLE TAÏWAN
人才协调员	COORDINATION DES CHASSEURS DE TÊTES
欧洲人才员工	CHASSEURS DE TÊTES, EUROPE
北美人才员工	CHASSEURS DE TÊTES, AMÉRIQUE DU NORD
团队行政	ADMINISTRATEUR DE L’ÉQUIPE
团队成员	MEMBRES DE L’ÉQUIPE
技术美工	CONCEPTEUR GRAPHIQUE TECHNIQUE
技术质量监控分析师	ANALYSTES DE L’ASSURANCE QUALITÉ TECHNIQUE
技术质量监控团队副组长	ASSISTANTS CHEFS D’ÉQUIPE DE L’ASSURANCE QUALITÉ TECHNIQUE
技术质量监控专员	SPÉCIALISTES DE L’ASSURANCE QUALITÉ TECHNIQUE
技术质量监控团队组长	CHEFS D’ÉQUIPE DE L’ASSURANCE QUALITÉ TECHNIQUE
科技团队	ÉQUIPE TECHNOLOGIQUE
测试工程	INGÉNIERIE TESTS
致家人和朋友：感谢你们在《虫群之心》开发过程奉献的爱与支持，是你们的理解和耐心让一切变得可能。我们爱你们！	À toutes nos familles et nos amis : merci beaucoup pour votre amour et votre soutien pendant le développement de Heart of the Swarm. Votre patience et votre compréhension ont tout rendu possible. On vous aime !
工具和信息专员	SPÉCIALISTES DES OUTILS ET DE L’INFORMATION
工具和报告团队经理	MANAGER DE L’ÉQUIPE OUTILS ET RAPPORTS
工具和报告团队代表	REPRÉSENTANTS DE L’ÉQUIPE OUTILS ET RAPPORTS
