Amorphous Armorcloud	Nube de blindaje amorfa
All ships prepare to move away from Tarsonis on my mark.	Que todas las naves se alejen de Tarsonis a mi señal.
Boys ... how about that evac?	¡Eh, tíos! ¿Esa evacuación?
Damn you Arcturus.  Don't do this.	¡Maldita sea, Arcturus! ¡No lo hagas!
It's done.	¡Está hecho!
Helmsman, signal the fleet and take us out of orbit.	Timonel, reúna la flota y sáquenos de órbita.
Now!	¡Ahora!
Commander?	¿Comandante?
What the hell is going on up there?	¿Qué coño pasa arriba?
Note: We should be able to simply put these together from the mod support dialogue the designers requested.	Note: We should be able to simply put these together from the mod support dialogue the designers requested.
Warning	Advertencia
Terran covert ops	Operación Sigilo terran
Zerg Infestation	Infestación zerg
Protoss Psionics	Psiónica protoss
Terran Combat	Combate terran
Protoss Combat	Combate protoss
Zerg Combat	Combate zerg
Terran Defense	Defensa terran
Unit Tactics	Tácticas de unidad
Protoss Advanced Commands	Órdenes avanzadas protoss
For all challenges	Para todos los retos
Death from above	¡Llueve muerte!
For all challenges terran	Para todos los retos terran
For all challenges zerg	Para todos los retos zerg
For all challenges protoss	Para todos los retos protoss
Opening Strategies	Estrategias iniciales
Terran Opening	Inicio terran
Protoss Opening	Inicio protoss
Zerg Opening	Inicio zerg
Ready	Listo
What	What
Yes	Sí
Pissed	Pissed
Energy Low	Energy Low
Ent Bunk	Ent Bunk
Death	Death
Exit Bunk	Exit Bunk
Evac	Evac
Ghost reporting.	Fantasma informando.
Utility	Utility
Numbers	Numbers
Letters	Letters
Outcomes	Outcomes
Directions	Directions
X Place	X Place
Greetings/Goodbyes	Greetings/Goodbyes
Compliments	Compliments
Colors	Colores
Commentary	Commentary
Progression	Progreso
Miscellaneous	Miscellaneous
Arcturus	Arcturus
TIP: In the upper left of the screen you will find the Message Log button. Clicking on this will bring up all previous conversations.	TIP: In the upper left of the screen you will find the Message Log button. Clicking on this will bring up all previous conversations.
Second Objective: Construct a Refinery	Second Objective: Construct a Refinery
First Objective: Gather Minerals (0/300)	First Objective: Gather Minerals (0/300)
First Objective: Scroll Camera with Mouse	First Objective: Scroll Camera with Mouse
Second Objective: Left-Click on Mini Map	Second Objective: Left-Click on Mini Map
First Objective: Select Marine	First Objective: Select Marine
Second Objective: Move Marine	Second Objective: Move Marine
Third Objective: Move Marine into Black Mask	Third Objective: Move Marine into Black Mask
Fourth Objective: Select all Marines	Fourth Objective: Select all Marines
Fifth Objective: Move all Marines	Fifth Objective: Move all Marines
First Objective: Kill the Red Marines	First Objective: Kill the Red Marines
Second Objective: Kill the Red Marines and Supply Depot	Second Objective: Kill the Red Marines and Supply Depot
First Objective: Select SCV	First Objective: Select SCV
Second Objective: Build a Command Center	Second Objective: Build a Command Center
Third Objective: Gather Vespene Gas (0/100)	Third Objective: Gather Vespene Gas (0/100)
First Objective: Train Marines (0/3)	First Objective: Train Marines (0/3)
Second Objective: Construct a Tech-Lab	Second Objective: Construct a Tech-Lab
Third Objective: Train a Marauder (0/1)	Third Objective: Train a Marauder (0/1)
First Objective: Build a Supply Depot	First Objective: Build a Supply Depot
First Objective: Mutate a Hatchery	First Objective: Mutate a Hatchery
Second Objective: Morph a Drone (0/3)	Second Objective: Morph a Drone (0/3)
Third Objective: Mutate a Spawning Pool	Third Objective: Mutate a Spawning Pool
Fourth Objective: Morph an Overlord (0/1)	Fourth Objective: Morph an Overlord (0/1)
First Objective: Warp in a Nexus	First Objective: Warp in a Nexus
Second Objective: Warp in a Pylon	Second Objective: Warp in a Pylon
Three Objective: Warp in a Gateway	Three Objective: Warp in a Gateway
Below is a gentle reminder that plays if the player sits at the tutorial main screen for too long:	Below is a gentle reminder that plays if the player sits at the tutorial main screen for too long:
Easter Egg line if the player leaves the Tutorial main screen idle for 5 minutes.	Easter Egg line if the player leaves the Tutorial main screen idle for 5 minutes.
Tutorial	Tutorial
Combat	Combate
Terran Resource Collection	Terran Resource Collection
Zerg Creep	Zerg Creep
Zerg Base Construction	Zerg Base Construction
Zerg Unit Production	Zerg Unit Production
Protoss Base Construction	Protoss Base Construction
Protoss General	Protoss General
Battlefield Features	Battlefield Features
Control Groups	Grupos de control
Queuing Orders	Queuing Orders
Chat	Chat
Unit Abilities	Unit Abilities
Assigning Building Rally Points	Assigning Building Rally Points
Hotkeys	Atajos
Scouting	Scouting
Tutorial Intro	Tutorial Intro
Zerg Base Construction - Queen VO	Zerg Base Construction - Queen VO
Zerg - Queen VO	Zerg - Queen VO
Zerg Unit Production - Queen VO	Zerg Unit Production - Queen VO
Protoss General - Executor VO	Protoss General - Executor VO
Protoss Base Construction - Executor VO	Protoss Base Construction - Executor VO
Zerg Creep -- Queen VO	Zerg Creep -- Queen VO
OBSOLETE LINES	FRASES OBSOLETAS
To increase the maximum number of units available, you must build supply depots. To do this, select an SCV and left-click the Build Structures button.	Para aumentar el número máximo de unidades disponibles debe construir depósitos de suministros. Para hacer esto, seleccione un VCE y haga clic izquierdo en el botón Construir estructuras.
Left-click on Build Supply Depot and left-click anywhere to place the Supply Depot.	Haga clic izquierdo en Construir depósito de suministros y seleccione un lugar para colocar la estructura.
Tutorial Load Screen Text	Texto de pantalla de carga del tutorial
These tutorials will explain basic gameplay in StarCraft II. An introduction to protoss and zerg gameplay is also covered. If you miss anything the Adjutant says you can press Message Log [F11] at any time to see a transcript.	Estos tutoriales explican el juego básico de StarCraft II. También hay una introducción a los protoss y a los zerg. Si te pierdes algo que ha dicho la ayudante, pulsa Mensajes [F11] en cualquier momento para ver una transcripción.
Raynor's Rattler	Serpiente de cascabel de Raynor
Classic StarCraft	StarCraft clásico
250mm Strike Cannons (Apply Behavior)	250mm Strike Cannons (Apply Behavior)
250mm Strike Cannons (Create Persistent)	250mm Strike Cannons (Create Persistent)
250mm Strike Cannons (Damage)	250mm Strike Cannons (Damage)
250mm Strike Cannons (Dummy)	250mm Strike Cannons (Dummy)
250mm Strike Cannons (Set)	250mm Strike Cannons (Set)
Arclite Cannon (Damage)	Arclite Cannon (Damage)
AIDanger Damage Large	AIDanger Damage Large
AIDanger Damage Small	AIDanger Damage Small
AIDanger Effect	AIDanger Effect
Needle Spines (Missile)	Needle Spines (Missile)
Arena Turret (Damage)	Arena Turret (Damage)
Assimilator Rich AB	Assimilator Rich AB
Assimilator Rich RB	Assimilator Rich RB
Assimilator Rich Search	Assimilator Rich Search
Assimilator Rich Set	Assimilator Rich Set
Attack Cancel	Attack Cancel
Twin Autocannons (Damage)	Twin Autocannons (Damage)
Auto Turret Release	Auto Turret Release
Auto Turret Release Launch	Auto Turret Release Launch
Auto Turret (Set)	Auto Turret (Set)
Auto turret Timed Life	Auto turret Timed Life
Suicide (Remove Buff)	Suicide (Remove Buff)
Blink (Teleport)	Blink (Teleport)
Broodling Attack	Broodling Attack
Broodling Escort CU	Broodling Escort CU
Broodling Escort Damage	Broodling Escort Damage
Broodling Escort Damage Set	Broodling Escort Damage Set
Broodling Escort Damage Unit	Broodling Escort Damage Unit
Broodling Escort Fallback Missile	Broodling Escort Fallback Missile
Broodling Escort Impact	Broodling Escort Impact
Broodling Escort Impact A	Broodling Escort Impact A
Broodling Escort Impact B	Broodling Escort Impact B
Broodling Escort Impact Transfer	Broodling Escort Impact Transfer
Broodling Escort Launch	Broodling Escort Launch
Broodling Escort Launch A	Broodling Escort Launch A
Broodling Escort Launch B	Broodling Escort Launch B
Broodling Escort Launch B Transfer	Broodling Escort Launch B Transfer
Broodling Escort Missile	Broodling Escort Missile
Broodling Escort Missile B	Broodling Escort Missile B
Broodling Escort Release	Broodling Escort Release
Broodling Escort Structure	Broodling Escort Structure
Broodling Escort Unit Set	Broodling Escort Unit Set
Broodling Timed Life	Broodling Timed Life
Burndown Damage	Burndown Damage
CCBirthSet	CCBirthSet
CCCreateSet	CCCreateSet
CC Load Dummy	CC Load Dummy
CC Unload Dummy	CC Unload Dummy
Calldown MULE (Create Persistent)	Calldown MULE (Create Persistent)
Calldown MULE (Create Set)	Calldown MULE (Create Set)
Calldown MULE (Create Unit)	Calldown MULE (Create Unit)
Calldown MULE (Final Set)	Calldown MULE (Final Set)
Calldown MULE (Issue Order)	Calldown MULE (Issue Order)
Calldown MULE (Timed Life)	Calldown MULE (Timed Life)
Cancel Attack Orders	Cancel Attack Orders
Launch Interceptor (Magazine)	Launch Interceptor (Magazine)
Caster Heal to Full Energy	Caster Heal to Full Energy
Timed Life	Duración limitada
Charge (Apply Buff)	Charge (Apply Buff)
Contaminate Apply Behavior	Contaminate Apply Behavior
Contaminate Dummy	Contaminate Dummy
Contaminate Launch Missile	Contaminate Launch Missile
Crucio Shock Cannon Blast	Crucio Shock Cannon Blast
Crucio Shock Cannon Blast Set	Crucio Shock Cannon Blast Set
Crucio Shock Cannon Directed	Crucio Shock Cannon Directed
Crucio Shock Cannon Dummy	Crucio Shock Cannon Dummy
Crucio Shock Cannon Set	Crucio Shock Cannon Set
Disable Caster Energy Regen (Apply Behavior)	Disable Caster Energy Regen (Apply Behavior)
Disable Caster Weapons Apply Behavior	Disable Caster Weapons Apply Behavior
Birth	Birth
Disguise As Marine With Shield Issue Order	Disguise As Marine With Shield Issue Order
DisguiseAsMarineWithoutShieldCU	DisguiseAsMarineWithoutShieldCU
Disguise As Marine Without Shield Issue Order	Disguise As Marine Without Shield Issue Order
Disguise As Zealot Issue Order	Disguise As Zealot Issue Order
Disguise As Zergling With Wings Issue Order	Disguise As Zergling With Wings Issue Order
Disguise As Zergling Without Wings Issue Order	Disguise As Zergling Without Wings Issue Order
DisguiseEx3RemoveCaster	DisguiseEx3RemoveCaster
Disguise Mimic	Disguise Mimic
Extractor Rich AB	Extractor Rich AB
Extractor Rich RB	Extractor Rich RB
Extractor Rich Search	Extractor Rich Search
Extractor Rich Set	Extractor Rich Set
Force Field Placement	Force Field Placement
Force Field Timed Life	Force Field Timed Life
Frenzy Apply Behavior	Frenzy Apply Behavior
Frenzy Launch Missile	Frenzy Launch Missile
Frenzy Weapon Impact	Frenzy Weapon Impact
Fungal Growth Apply Movement Behavior	Fungal Growth Apply Movement Behavior
Fungal Growth (Initial Set)	Fungal Growth (Initial Set)
Fungal Growth Search Dummy	Fungal Growth Search Dummy
Fungal Growth Set	Fungal Growth Set
Fusion Cutter (Damage)	Fusion Cutter (Damage)
Ghost Hold Fire B	Ghost Hold Fire B
Ghost Hold Fire Set	Ghost Hold Fire Set
Anti Gravity (Persistent)	Anti Gravity (Persistent)
Anti Gravity (Apply Behavior)	Anti Gravity (Apply Behavior)
Anti Gravity (Caster Energy Drain)	Anti Gravity (Caster Energy Drain)
Anti Gravity	Anti Gravity
Graviton Beam Halt Terran Build	Graviton Beam Halt Terran Build
Anti Gravity (Height Behavior)	Anti Gravity (Height Behavior)
Anti Gravity (Initial Set)	Anti Gravity (Initial Set)
Anti Gravity (Periodic Set)	Anti Gravity (Periodic Set)
GravitonBeamUnburrowTake2	GravitonBeamUnburrowTake2
Guass Rifle	Guass Rifle
Hallucination (Create Archon)	Hallucination (Create Archon)
Hallucination (Create Colossus)	Hallucination (Create Colossus)
