Amorphous Armorcloud	Amorphe Deckungswolke
MISSION:	MISSION:
Select a planet.	Planeten auswählen
MISSION OBJECTIVE:	MISSIONSZIEL:
RESEARCH OPPORTUNITIES:	FORSCHUNGSMÖGLICHKEITEN:
AVAILABLE TECHNOLOGY	VERFÜGBARE TECHNOLOGIE
MISSION SELECTION	MISSIONSAUSWAHL
<h/>TRAVEL	<h/>REISEN
UNIT UNLOCKED	EINHEIT FREIGESCHALTET
Play Again	Erneut spielen
<h/>Play	<h/>Spielen
Select the slot each player should replace	Weisen Sie die zu ersetzenden Plätze zu
START GAME	SPIEL STARTEN
The game will end immediately if started with the current players.	Das Spiel wird sofort enden, wenn es mit den aktuellen Spielern gestartet wird.
You cannot take command of this replay while %user% is assigned to a player slot and using a Custom Replay Interface.	Sie können die Kontrolle über dieses Replay nicht übernehmen, solange %user% einem Spielerplatz zugewiesen ist und ein benutzerdefiniertes Replay-Interface verwendet.
You cannot take command of this replay while %user% is assigned to multiple player slots.	Sie können die Kontrolle über dieses Replay nicht übernehmen, solange %user% mehreren Spielerplätzen zugewiesen ist.
You cannot take command of a replay that has ended.	Sie können die Kontrolle über ein Replay nicht übernehmen, wenn es beendet wurde.
You cannot take command of this replay because %user% does not own this expansion level.	Sie können die Kontrolle über dieses Replay nicht übernehmen, da %user% nicht die benötigte Spiellizenz besitzt.
You cannot take command of this replay because %user% does not have the license required to play %race%.	Sie können die Kontrolle über dieses Replay nicht übernehmen, da %user% nicht über die nötige Lizenz verfügt, um %race% zu spielen.
You cannot take command of this replay without assigning player slots.	Sie können die Kontrolle über dieses Replay nicht übernehmen, ohne Spielerplätze zuzuweisen.
Only the host can take command of a replay.	Nur der Host kann die Kontrolle über ein Replay übernehmen.
TAKE COMMAND	KONTROLLE ÜBERNEHMEN
<h/>Play Game	<h/>Spiel spielen
<c val="#ColorWhite">All communication blocked</c><n/>Use option icon to unblock communications.	<c val="#ColorWhite">Spielerchat stummgeschaltet</c><n/>Klicken Sie auf das Optionssymbol, um den Spielerchat zu aktivieren.
Mute player chat	Spielerchat stummschalten
Unmute player chat	Spielerchat aktivieren
Reached Max Player Level	Maximale Spielerstufe erreicht
%player% is now the host.	%player% ist jetzt der Host.
%player% failed to reconnect.	%player% konnte die Verbindung nicht wiederherstellen.
%player% has lost their connection.	%player% hat die Verbindung verloren.
%player% has joined the game!	%player% ist dem Spiel beigetreten!
%player% has left the game!	%player% hat das Spiel verlassen!
%player% is attempting to rejoin the game.	%player% versucht, dem Spiel erneut beizutreten.
%player% has not rebuilt their base and is being revealed!	%player% hat die Basis nicht wieder aufgebaut und wird aufgedeckt!
%player% rebuilt their base and is no longer being revealed!	%player% hat die Basis wieder aufgebaut und wird nicht mehr aufgedeckt!
%player% has rejoined the game!	%player% ist dem Spiel erneut beigetreten!
Resources gathered by %player% will be split among remaining allies.	Die von %player% abgebauten Ressourcen werden unter den verbleibenden Verbündeten aufgeteilt.
%player% is now responsive.	%player% reagiert jetzt.
Stalemate detected! The game will end in <d time="180"/> unless any player gathers resources, researches an upgrade, produces a unit, constructs a building, or destroys an enemy building.	Pattsituation! Das Spiel endet in <d time="180"/>. Es sei denn, ein Spieler baut Ressourcen ab, erforscht ein Upgrade, produziert eine Einheit, baut ein Gebäude oder zerstört ein feindliches Gebäude.
Stalemate ended! The game will now resume normally.	Pattsituation aufgehoben! Das Spiel läuft normal weiter.
%player% is unresponsive.	%player% reagiert nicht.
%player% was defeated!	%player% wurde besiegt!
%player% no longer has any forces!	%player% hat keine Streitkräfte mehr!
%player% was victorious!	%player% war siegreich!
AI - %difficulty%	KI – %difficulty%
Gold Earned	Erhaltenes Gold
Total Gold	Gold insgesamt
Placed!	Rang erhalten!
Level Up	Neue Stufe
Max Level	Max. Stufe
Level %level%:	Stufe %level%:
Player Level	Spielerstufe
Rank Points Earned	Rangpunkte erhalten
Total Rank Points	Rangpunkte insgesamt
Rank Up	Neuer Rang
Master Skin Unlocked!	Eliteskin freigeschaltet!
Experience Earned	Erhaltene Erfahrung
Total Experience	Erfahrung insgesamt
Army Supply	Armee in Versorgung
Units Killed	Getötete Einheiten
Name Panel	Namensübersicht
Worker Supply	Arbeiter in Versorgung
Workers Killed	Getötete Arbeiter
Player %val%	Spieler %val%
Politics	Politik
Unit Portraits:	Einheitenporträts:
Post-Processing:	Post-Processing:
Pre-Purchase	Vorverkauf
Press the desired key	Gewünschte Taste drücken
Hotkey:	Hotkey:
Mission Objective:	Missionsziel:
Main Objectives	Hauptziele
Produces:	Produziert:
ADD BLIZZARD BALANCE	BLIZZARD-GUTHABEN HINZUFÜGEN
* Additional fees may apply, please contact your bank.	*Es können zusätzliche Gebühren anfallen. Weitere Informationen erhalten Sie bei Ihrer Bank.
* Duration of service: Until termination of service	* Servicedauer: Bis der Service eingestellt wird
* Duration of service: Until the expiration of the item	* Laufzeit des Dienstes: bis Ablauf des Artikels
The transaction will be deducted from your Blizzard balance	Diese Transaktion wird mit Ihrem Blizzard-Guthaben verrechnet.
This purchase will not be usable in the game you're about to play.	Dieser Artikel kann im Spiel, das Sie gleich beginnen werden, nicht verwendet werden.
Breaking News	Eilmeldung
Refund will not be given in case that any of the bundled products has been used.	Rückerstattungen werden nicht gewährt, wenn Produkte aus dem Paketangebot bereits benutzt wurden.
Your purchase is complete!	Der Kauf ist abgeschlossen!
PAY NOW	JETZT BEZAHLEN
Type "%region%" to confirm	Geben Sie zur Bestätigung "%region%" ein.
Purchases will be available in the Blizzard login region listed below as well as this Public Test region. If the region listed does not match the region you play on normally, you will need to change your purchase region in the options menu.<n/>Blizzard login region this product will be purchase for: %region%<n/>Type the region name in the box below to continue the purchase.	Erworbene Artikel stehen sowohl in der unten genannten Blizzard-Region als auch auf dem öffentlichen Testrealm zur Verfügung. Wenn die angegebene Region nicht diejenige ist, in der Sie normalerweise spielen, werden Sie Ihre Kaufregion im Optionsmenü ändern müssen.<n/>Blizzard-Region, für die dieser Artikel gekauft wird: %region%<n/>Geben Sie den Namen der Region in das Feld unten ein, um den Kauf fortzusetzen.
By clicking Pay Now, you agree to the <a name="Nydus" href="termsofsale">[Terms of Sale]</a>, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started.	Indem Sie auf "JETZT BEZAHLEN" klicken, erklären Sie sich mit den <a name="Nydus" href="termsofsale">[Verkaufsbedingungen]</a> und der sofortigen Lieferung Ihrer Bestellung einverstanden. Sobald der Liefervorgang begonnen hat, verlieren Sie Ihr Widerrufsrecht.
Any applicable value-added tax included	Inklusive Umsatzsteuer
<a name="Nydus" href="error/%bpaycode%">[More Help: %bpaycode%]</a>	<a name="Nydus" href="error/%bpaycode%">[Weitere Hilfe: %bpaycode%]</a>
BUY WITH GOLD	MIT GOLD KAUFEN
Gold	Gold
Item	Artikel
VAT included	Inklusive Umsatzsteuer
Learn more	Mehr erfahren
There is an issue that may affect your Stimpack usage. Stimpack time is not extended for scheduled downtime.	Beachten Sie bitte, dass die Nutzung Ihres Stimpacks einer Einschränkung unterliegt. Der Zeitraum wird nicht um die Dauer planmäßiger Wartungsarbeiten verlängert.
MANAGE PAYMENT OPTIONS	ZAHLUNGSOPTIONEN VERWALTEN
Payment	Zahlung
Price	Preis
The prices in the shop have been updated.  Please try again.	Die Preise im Shop wurden aktualisiert. Bitte versuchen Sie es erneut.
Price validation failed.  Please try again.	Preisvalidierung gescheitert. Bitte versuchen Sie es erneut.
Product information has been updated.  Please try again.	Die Produktinformationen wurden aktualisiert. Bitte versuchen Sie es erneut.
Already Owned	Bereits erworben
Violência	Violência
CLASSIFICAÇÃO	CLASSIFICAÇÃO
CONFIRM	BESTÄTIGEN
Purchase Completed	Kauf abgeschlossen
Thank you for making a purchase! As a token of our appreciation, we would like to reward you with this Billie the Kid mount.	Vielen Dank für Ihr Interesse an diesem Artikel! Sobald Sie den Kauf abschließen, erwartet Sie als Belohnung dieses Reittier, das Goldböckchen.
Thank you for making a purchase! As a token of our appreciation, we would like to reward you with this Wonder Billie mount. This mount is only available for a limited time.	Vielen Dank für Ihr Interesse an diesem Artikel! Sobald Sie den Kauf abschließen, erwartet Sie als Belohnung diese Reitziege, das Regenböckchen, das nur für kurze Zeit verfügbar ist.
Purchase has timed out. Please try again later.	Beim Kauf ist eine Zeitüberschreitung aufgetreten. Bitte versuchen Sie es erneut.
Qty	Anz.
I accept the <a name="Nydus" href="refundpolicy">[Refund Policy]</a>	Ich stimme den <a name="Nydus" href="refundpolicy">[Rückerstattungsrichtlinien]</a> zu.
This item is immediately applied to your account after the purchase and will not be refundable. I accept the <a name="Nydus" href="refundpolicy">[Refund Policy]</a>	Dieser Artikel wird sofort nach dem Kauf aktiviert und kann nicht rückerstattet werden. Ich stimme den <a name="Nydus" href="refundpolicy">[Rückerstattungsrichtlinien]</a> zu.
TRY AGAIN	ERNEUT VERSUCHEN
Invalid information entered.  Please try again.	Ungültige Informationseingabe. Bitte versuchen Sie es erneut.
Skins cannot be used in Co-op or Campaign modes.	Skins können nicht in Co-op-Missionen oder in der Kampagne verwendet werden.
plus any applicable taxes	zuzüglich USt, soweit anwendbar
including any applicable taxes	inkl. USt, soweit anwendbar
By clicking Pay Now you accept the <a name="Nydus" href="termsofsale">[Terms of Sale]</a>	Indem Sie auf "JETZT BEZAHLEN" klicken, stimmen Sie den <a name="Nydus" href="termsofsale">[Verkaufsbedingungen]</a> zu.
I accept the <a name="Nydus" href="refundpolicy">[Refund Policy]</a><n/>By clicking Pay Now you accept the <a name="Nydus" href="termsofsale">[Terms of Sale]</a>	Ich stimme den <a name="Nydus" href="refundpolicy">[Rückerstattungsrichtlinien]</a> zu.<n/>Indem Sie auf "Jetzt bezahlen" klicken, stimmen Sie den <a name="Nydus" href="termsofsale">[Verkaufsbedingungen]</a> zu.
This item is immediately applied to your account after the purchase and will not be refundable.  I accept the <a name="Nydus" href="refundpolicy">[Refund Policy]</a><n/>By clicking Pay Now you accept the <a name="Nydus" href="termsofsale">[Terms of Sale]</a>	Dieser Artikel wird sofort nach dem Kauf aktiviert und kann nicht rückerstattet werden. Ich stimme den <a name="Nydus" href="refundpolicy">[Rückerstattungsrichtlinien]</a> zu.<n/>Indem Sie auf "Jetzt bezahlen" klicken, stimmen Sie den <a name="Nydus" href="termsofsale">[Verkaufsbedingungen]</a> zu.
UPDATE PAYMENT METHOD	ZAHLUNGSMETHODE AKTUALISIEREN
Play some games, already.	Sie haben noch keine Partien gespielt.
Player does not have a profile on your realm.	Dieser Spieler hat auf Ihrem Server kein Profil.
Something went wrong.<n/>Maybe make a sandwich and try again later.	Tut uns leid, irgendetwas ist schiefgelaufen.<n/>Versuchen Sie es doch später wieder.
The Nexus Barfed	Der Nexus hat Schluckauf
Hero Collection	Heldensammlung
Search Collection	Sammlung durchsuchen
Highest Progress	Weitester Fortschritt
Recently Started	Vor Kurzem begonnen
%wins% <lang rule="plural" value="%wins%">Win,Wins</lang>   %takedowns% <lang rule="plural" value="%takedowns%">Takedown,Takedowns</lang>	%wins% <lang rule="plural" value="%wins%">Sieg,Siege</lang> – %takedowns% <lang rule="plural" value="%takedowns%">Kill,Kills</lang>
GENERAL INFORMATION	ALLGEMEINE INFORMATIONEN
%losses%<s val="PlayerProfileStatsHeroInfoStatSemiTransparent">L</s>	%losses%<s val="PlayerProfileStatsHeroInfoStatSemiTransparent"> N</s>
%winPct%%	%winPct%%
%wins%<s val="PlayerProfileStatsHeroInfoStatSemiTransparent">W</s>	%wins%<s val="PlayerProfileStatsHeroInfoStatSemiTransparent"> S</s>
Map	Karte
Result	Ergebnis
Match History	Spielüberblick
%games% <lang rule="plural" value="%games%">GAME,GAMES</lang>	%games% <lang rule="plural" value="%games%">SPIEL,SPIELE</lang>
MOST PLAYED THIS SEASON	MEISTGESPIELT IN DIESER SAISON
level %level%	Stufe %level%
%remaining% XP to next level	%remaining% EP bis zur nächsten Stufe
Daily Quests	Tägliche Quests
Quests can be completed in any mode except Custom Games.	Quests können in allen Modi außer in eigenen Spielen abgeschlossen werden.
QUESTS LOCKED	QUESTS NICHT VERFÜGBAR
Ranked Play	Gewertete Spiele
Ranked Teams	Gewertete Teams
Recent Victory	Jüngster Sieg
Player Progression	Fortschritt
This Season	Aktuelle Saison
%year% Season %num%	%num%. Saison %year%
Most %display% as	Meiste %display% mit
%games% Games Won	%games% <lang rule="plural" value="%games%">Sieg,Siege</lang>
MAP RECORD	KARTENBILANZ
Wins	Siege
Statistics	Statistik
Profile Summary	Profilübersicht
%games% Total Games Played	%games% <lang rule="plural" value="%games%">Spiel,Spiele</lang> absolviert
TOTAL HERO LEVEL	HELDEN (Gesamt)
Reach Player Level %rank%	Benötigt Stufe %rank%
Profile Name:	Profilname:
Profile Template:	Profilvorlagen:
Pr<h/>ofile	Pr<h/>ofil
Profiles	Profile
Provider	Anbieter
Purchase	Erwerben
Purchasable Upgrades	Erhältliche Upgrades
Tech Cost:	Tech-Kosten:
<val/> mil	<val/> mil
Current Inventory	Derzeitiges Inventar
Select a Tech Upgrade	Wählen Sie ein Technologie-Upgrade
PURCHASE	KAUFEN
SELECT AN UPGRADE	UPGRADE AUSWÄHLEN
TECH PURCHASE	TECH ERWERBEN
Default (%region%)	Standard (%region%)
You own this artifact	Artefakt bereits erworben
You own this artifact slot	Artefaktplatz bereits erworben
You own this bundle	Bereits erworben
You own this hero	Bereits erworben
You own this mount	Bereits erworben
You own this skin	Bereits erworben
Push-to-talk	Push-to-Talk
Push-To-Talk Key:	Aktivierungstaste:
Push-To-Talk Sound	Aktivierungssound
Quality	Qualität
Quality:	Qualität:
You've reached the max player level! Yay!	Sie haben die maximale Spielerstufe erreicht! Hurra!
New Quest!	Neue Quest!
Level %rank% Reward	Belohnung für Stufe %rank%
Level %level% Reward	Belohnung für Stufe %level%
Special Events	Besondere Ereignisse
Quest Log	Questlog
On Release	Beim Loslassen
Quick Cast:	Schnelleinsatz:
<c val="ffffff">Unblock Real ID Friend Requests:</c><n/>Allow selected user to send you Real ID friend requests again.	<c val="ffffff">Blockierung von Freundschaftsanfragen (Real ID) aufheben:</c><n/>Der ausgewählte Spieler kann Ihnen wieder Freundschaftsanfragen senden.
Race	Spezies
<s val="StandardTooltipHeader">Hero League</s><n/><n/>In this league players can queue by themselves or in parties of up to four players to be matched against players of similar skill.<n/><n/><s val="StandardTooltipHeader">League Rank</s><n/><n/><ul indent="3" text="•"><li>Your rank is a representation of your skill where each Rank is about 2% of the players in the league.</li><n/><li>To rise in ranks, win matches and earn points.</li><n/><li>No points are lost when losing matches between ranks 50 to 40.</li><n/><li>Placement Rank: Your rank is not determined until you have completed a number of games to determine your skill level.	<s val="StandardTooltipHeader">Heldenliga</s><n/><n/>In dieser Liga können Sie allein oder in einer Gruppe mit bis zu drei anderen gegen Spieler ähnlichen Könnens antreten.<n/><n/><s val="StandardTooltipHeader">Ligarang</s><n/><n/><ul indent="3" text="•"><li>Ihr Rang repräsentiert Ihr Können. Jeder Rang umfasst ungefähr 2% aller Spieler in der Liga.</li><n/><li>Gewinnen Sie Spiele und verdienen Sie Punkte, um im Rang aufzusteigen.</li><n/><li>Von Rang 50 bis 40 verlieren Sie bei einer Niederlage keine Punkte.</li><n/><li>Platzierungsrang: Ihr Rang wird erst festgelegt, nachdem Sie einige Spiele bestritten haben und so Ihre Erfahrungsstufe bestimmt wurde.
