Amorphous Armorcloud	Nimboarmadura amorfa
Infested Terrans Lay Egg Persistant	Terran infestados - Poner huevo (Persistente)
Infested Swarm (Timed Life)	Tropa infestada (Duración limitada)
Inhibitor Zone ABBase	Inhibitor Zone ABBase
Inhibitor Zone Large Search	Inhibitor Zone Large Search
Inhibitor Zone Medium Search	Inhibitor Zone Medium Search
Inhibitor Zone Search Base	Inhibitor Zone Search Base
Inhibitor Zone Small Search	Inhibitor Zone Small Search
Inhibitor Zone Temporal Field	Inhibitor Zone Temporal Field
Instant Morph Unburrow	Transformación instantánea - Desenterrar
Instant Morph Unburrow AB No Checks	Transformación instantánea - Desenterrar AB - Sin verificaciones
Instant Unburrow	Desentierro instantáneo
Pulse Cannon (Damage)	Cañón de pulso (Daño)
Interceptor Beam	Rayo interceptor
Ion Cannons	Cañones de iones
Anti Air (Damage)	Antiaéreo (Daño)
Anti Air (Launch Missile)	Antiaéreo (Lanzar misil)
Anti Air (Persistent)	Antiaéreo (Persistente)
Cleave	Hendidura
Kaiser Blades Damage	Cuchillas káiser - Daño
Kaiser Blades Search	Cuchillas káiser - Buscar
Kill	Eliminar
Kill Hallucination	Eliminar Alucinación
Kills To Broodlord AB	Muertes causadas al Amo de la colonia AB
Kills To Caster	Eliminaciones al lanzador
Halo Rockets (Persistent)	Cohetes Halo (Persistente)
Halo Rockets (Damage)	Cohetes Halo (Daño)
Halo Rockets (Launch Missile)	Cohetes Halo (Lanzar misil)
Larva Release (Set)	Larva - Liberar (Establecer)
Larva Release (Launch Missile)	Larva - Liberar (Lanzar misil)
10	10
11	11
12	12
13	13
14	14
MULE Fate	Destino del EMUL
Broodling (Spawn Set)	Ácaro (Establecer engendración)
Mothership Beam (Damage)	Nave Nodriza - Rayo (Daño)
Mothership Beam Dummy	Nave Nodriza - Rayo - Simulación
Mothership Beam (Persistent)	Nave Nodriza - Rayo (Persistente)
Mothership Beam (Set)	Nave Nodriza - Rayo (Establecer)
Mothership Secondary Beam (Persistent)	Nave Nodriza - Rayo secundario (Persistente)
Neural Parasite (Apply Behavior Normal)	Parásito neural (Aplicar comportamiento normal)
Neural Parasite Drone Check	Parásito neural - Obrero - Marcar
Neural Parasite Drone Remove Check	Parásito neural - Obrero - Eliminar marca
Neural Parasite (Launch Missile)	Parásito neural (Lanzar misil)
Neural Parasite (Create Persistent)	Parásito neural (Crear persistente)
Neural Parasite Persistent Destroy	Parásito neural - Persistente - Destruir
Neural Parasite Persistent Set	Parásito neural - Persistente - Configurar
NexusBirthSet	NexusBirthSet
NexusCreateSet	NexusCreateSet
NydusAlertDummy	NydusAlertDummy
P-38 Scythe Guass Pistol	Pistola Gauss P-38 Guadaña
Particle Beam	Rayo de partículas
Entropy Lance (Set)	Lanza entrópica (Establecer)
Phase Shift (Apply Behavior)	Conmutación de fase (Aplicar comportamiento)
Ping Panel Beacon Attack	Ping Panel Beacon Attack
Ping Panel Beacon Defend	Ping Panel Beacon Defend
Ping Panel Beacon On My Way	Ping Panel Beacon On My Way
Ping Panel Beacon Retreat	Ping Panel Beacon Retreat
Point Defense Drone Release (Create Unit)	Dron de defensa puntual - Liberar (Crear unidad)
Point Defense Drone Release (Launch Missile)	Dron de defensa puntual - Liberar (Lanzar misil)
Point Defense Drone Release (Set)	Dron de defensa puntual - Liberar (Establecer)
Point Defense Drone (Timed Life)	Dron de defensa puntual (Duración limitada)
Point Defense Laser (Damage)	Láser de defensa puntual (Daño)
Post Morph (Healing Effect)	Postransformación (Efecto de curación)
Precursor Unit Knockback	Precursor - Unidad - Repulsión
Psi Blades (Damage)	Cuchillas psi (Daño)
Psi Storm (Apply Buff)	Tormenta psiónica (Aplicar potenciación)
Psi Storm (Damage)	Tormenta psiónica (Daño)
Psi Storm (Damage2)	Tormenta psiónica (Daño2)
Psi Storm (Persistent)	Tormenta psiónica (Persistente)
Psi Storm (Search)	Tormenta psiónica (Buscar)
Queen Birth	Reina - Nacimiento
Ultralisk - Head Attack (Damage)	Ultralisco - Topetazo (Daño)
Refinery Rich AB	Refinery Rich AB
Refinery Rich RB	Refinery Rich RB
Refinery Rich Search	Refinery Rich Search
Refinery Rich Set	Refinery Rich Set
Remove Cargo on Death	Quitar cargamento al morir
Remove Surface For Spellcast (Channeled)	Quitar superficie para el lanzamiento de la habilidad especial (Canalizada)
Renegade Longbolt Missile	Misil Asiru de Renegado
Repulser Field 10 (Search Area)	Campo repulsor 10 (Área de búsqueda)
Repulser Field 12 (Search Area)	Campo repulsor 12 (Área de búsqueda)
Repulser Field 6 (Search Area)	Campo repulsor 6 (Área de búsqueda)
Repulser Field 8 (Search Area)	Campo repulsor 8 (Área de búsqueda)
Repulser Field (Apply Force)	Campo repulsor (Aplicar fuerza)
Repulser Field	Campo repulsor
Salvage Death	Reciclar - Muerte
Salvage Shared	Reciclaje - Compartido
Sap Structure (Issue Attack Order)	Minar estructura (Emitir orden de ataque)
Seeker (Damage)	Buscador (Daño)
Seeker (Launch Missile)	Buscador (Lanzar misil)
Snipe (Damage)	Francotirar (Daño)
SpawnChangeling (Create Unit)	EngendrarCambiaformas (Crear unidad)
Spawn Mutant Larva (Apply Spawn Behavior)	Engendrar Larva Mutante (Aplicar comportamiento de engendración)
Spawn Mutant Larva (Apply Timer Behavior)	Engendrar Larva Mutante (Aplicar comportamiento de temporizador)
Spawn Mutant Larva (Remove Spawn Behavior)	Engendrar Larva Mutante (Quitar comportamiento de engendración)
Spore Crawler (Missile)	Rastrero lanzaesporas (Misil)
Spore Crawler (Damage)	Rastrero lanzaesporas (Daño)
Stim Pack (Apply Buff)	Estimpack (Aplicar potenciación)
Suicide Remove	Suicidio - Quitar
Suicide (Target Friendly Switch)	Suicidio (Objetivo amigo - Cambiar)
Supply Depot Morphing Apply Behavior	Depósito de suministros transformándose - Aplicar comportamiento
Supply Drop (Apply Behavior)	Cápsula de suministros (Aplicar comportamiento)
Supply Drop (Apply Temp Behavior)	Cápsula de suministros (Aplicar comportamiento temp.)
Surface For Spellcast	Superficie para el lanzamiento de la habilidad especial
Surface For Spellcast (Channeled)	Superficie para el lanzamiento de la habilidad especial (Canalizada)
Swarm Seeds (Launch Secondary Missile)	Semillas del Enjambre (Lanzar misil secundario)
Thermal Lances	Lanzas térmicas
Arm Cannons (Persistent)	Armar cañones (Persistente)
Thor Hand Gun Splash Damage Target	Thor - Pistola - Daño por proximidad - Objetivo
Transfer Kills To Caster	Transferir muertes causadas al lanzador
Triggered Explosion	Explosión disparada
Twin Gatling Cannon (Damage)	Cañón Gatling doble (Daño)
Twin Ibiks Cannon	Cañones gemelos Ibiks
Unit Knockback By2	Unit Knockback By2
Unit Knockback By2 Apply Behavior	Unit Knockback By2 AB
Unit Knockback By2 Create PHSet	Unit Knockback By2 Create PHSet
Unit Knockback By2 Impact	Unit Knockback By2 Impact
Unit Knockback By2 Impact Land Set	Unit Knockback By2 Impact Land Set
Unit Knockback By2 Place Holder Launch Missile	Unit Knockback By2 LM
Unit Knockback By2 Remove Behavior	Unit Knockback By2 RB
Unit Knockback By3	Unit Knockback By3
Unit Knockback By3 Apply Behavior	Unit Knockback By3 AB
Unit Knockback By3 Create PHSet	Unit Knockback By3 Create PHSet
Unit Knockback By3 Impact	Unit Knockback By3 Impact
Unit Knockback By3 Place Holder Launch Missile	Unit Knockback By3 LM
Unit Knockback By3 Remove Behavior	Unit Knockback By3 RB
Unit Knockback By4	Unit Knockback By4
Unit Knockback By4 Apply Behavior	Unit Knockback By4 AB
Unit Knockback By4 Create PHSet	Unit Knockback By4 Create PHSet
Unit Knockback By4 Impact	Unit Knockback By4 Impact
Unit Knockback By4 Impact Land Set	Unit Knockback By4 Impact Land Set
Unit Knockback By4 Place Holder Launch Missile	Unit Knockback By4 LM
Unit Knockback By4 Remove Behavior	Unit Knockback By4 RB
Unit Knockback By5	Unit Knockback By5
Unit Knockback By5 Apply Behavior	Unit Knockback By5 AB
Unit Knockback By5 Create PHSet	Unit Knockback By5 Create PHSet
Unit Knockback By5 Impact	Unit Knockback By5 Impact
Unit Knockback By5 Place Holder Launch Missile	Unit Knockback By5 LM
Unit Knockback By5 Remove Behavior	Unit Knockback By5 RB
Unit Knockback By6	Unit Knockback By6
Unit Knockback By6 Apply Behavior	Unit Knockback By6 AB
Unit Knockback By6 Create PHSet	Unit Knockback By6 Create PHSet
Unit Knockback By6 Impact	Unit Knockback By6 Impact
Unit Knockback By6 Place Holder Launch Missile	Unit Knockback By6 LM
Unit Knockback By6 Remove Behavior	Unit Knockback By6 RB
Unit Knockback By7	Unit Knockback By7
Unit Knockback By7 Apply Behavior	Unit Knockback By7 AB
Unit Knockback By7 Create PHSet	Unit Knockback By7 Create PHSet
Unit Knockback By7 Impact	Unit Knockback By7 Impact
Unit Knockback By7 Impact Land Set	Unit Knockback By7 Impact Land Set
Unit Knockback By7 Place Holder Launch Missile	Unit Knockback By7 LM
Unit Knockback By7 Remove Behavior	Unit Knockback By7 RB
Vortex Apply Disable	Vórtice - Aplicar desactivado
Vortex Apply Disable Enemy	Vórtice - Aplicar desactivar enemigo
Vortex Apply Disable Other	Vórtice - Aplicar desactivar otro
Vortex (Create Persistent)	Vórtice (Crear persistente)
Vortex Create Persistent Initial	Vórtice - Crear inicial persistente
Vortex Effect	Vórtice - Efecto
Vortex Event Horizon	Vórtice - Horizonte de sucesos
Vortex Event Horizon Search Area	Vórtice - Horizonte de sucesos - Área de búsqueda
Vortex (Force)	Vórtice (Fuerza)
Vortex Search Area	Vórtice - Área de búsqueda
Vortex Unburrow	Vórtice - Desenterrarse
Vortex Unsiege	Vórtice - Detener asedio
Warp In Effect	Efecto de transposición
Warp In Effect15	Transposicionar Efecto15
Wormhole Transit Teleport Move	Orificio de gusano - Tránsito - Teletransportar - Mover
Yamato Cannon (Missile)	Cañón Yamato (Misil)
Yamato Cannon (Damage)	Cañón Yamato (Daño)
Disable Charging	Desactivar carga
Zerg Building Not On Creep Damage	Edificación zerg - No sobre el talo - Daño
Zerg Building Spawn Broodling 6	Edificación zerg - Engendrar Ácaro 6
Zerg Building Spawn Broodling 6 (Delay)	Edificación zerg - Engendrar Ácaro 6 (Demora)
Zerg Building Spawn Broodling 9	Edificación zerg - Engendrar Ácaro 9
Zerg Building Spawn Broodling 9 (Delay)	Edificación zerg - Engendrar Ácaro 9 (Demora)
That Supply Depot already has extra supplies.	Ese Depósito de suministros ya tiene Suministros adicionales.
Already spawning additional Larvae.	Ya se están engendrando Larvas adicionales.
Can't target units affected by 250mm Strike Cannons.	No se pueden seleccionar unidades afectadas por los Cañones de asalto de 250 mm.
Can't target Frenzied units.	No se pueden seleccionar unidades con la habilidad Frenético.
Can't target units affected by Graviton Beam.	No se pueden seleccionar las unidades afectadas por el Rayo de gravitones.
Can't target Larvae.	No se puede seleccionar a la Larva.
Can't target leeched units.	No se pueden seleccionar unidades succionadas.
Can't target Point Defense Drones.	No se pueden seleccionar Drones de defensa puntual.
Can't target units that are warping in.	No se pueden seleccionar unidades que se estén transposicionando.
Can't target morphing units.	No se pueden seleccionar unidades en transformación.
Can't target Zerg cocoons.	No se pueden seleccionar capullos zerg
Can't target contaminated buildings	No se pueden seleccionar edificaciones contaminadas.
Target already at full Energy.	El objetivo ya tiene energía máxima.
Target already at full Energy and Shields.	El objetivo ya tiene energía y escudo al máximo.
Target already at full Life and Shields.	El objetivo ya tiene vida y escudo al máximo.
Must target a Mineral Field or open terrain.	Se debe seleccionar un campo de minerales o terreno abierto.
MULE already en route to Mineral Field.	El EMUL ya se dirige al campo de minerales.
Must target a Hatchery, Lair, or Hive.	Se debe seleccionar un Larvario, una Guarida o una Colmena.
Must target a Supply Depot.	Se debe seleccionar un Depósito de suministros.
Must place on an active Vespene Geyser.	Debe colocarse sobre un géiser de gas vespeno activo.
Ammo	Municiones
Axe	Hacha
Bag	Bolsa
Bow	Arco
Chest	Pecho
Crossbow	Ballesta
Dagger	Daga
Feet	Pies
Fist	Puño
Gun	Arma
Hands	Manos
Head	Cabeza
Legs	Piernas
Mace	Mazo
Neck	Cuello
Polearm	Arma de mástil
Potion	Poción
Relic	Reliquia
Ring	Anillo
Scroll	Pergamino
Shield	Escudo
Shirt	Camisa
Shoulders	Hombros
Staff	Báculo
Sword	Espada
Tabard	Tabardo
Thrown	Arrojado
Trinket	Dije
Waist	Cintura
Wand	Vara
Wrist	Muñeca
Battle.net	Battle.net
Press<k val="AlertRecall"/> to center the camera on a recent event, such as a combat warning or a recently created unit.	Oprime<k val="AlertRecall"/> para centrar la cámara en un evento reciente, como una advertencia de combate o una unidad creada recientemente.
You can store a unit selection by pressing<k val="ControlGroupAssign1"/>. Press<k val="ControlGroupRecall1"/> to recall the selection.	Para almacenar la selección de una unidad, presiona<k val="ControlGroupAssign1"/>. Presiona<k val="ControlGroupRecall1"/> para volver a la selección.
Press<k val="SubgroupNext"/> to cycle through different types of selected units, making it easier to use their abilities.	Oprime<k val="SubgroupNext"/> para alternar entre los distintos tipos de unidades seleccionadas, de modo que sea más fácil usar sus habilidades.
Units on higher ground can attack without endangering themselves. To counter this, gain vision of the attackers by running up ramps or bringing air units.	Las unidades en terreno elevado pueden atacar sin arriesgarse. Para contrarrestar esto, puedes adquirir una visión de los atacantes si subes por las rampas o usas unidades aéreas.
Xel'Naga Towers provide vision across a large area. Stand a unit near a Xel'Naga Tower to control it.	Las Torres de vigilancia Xel'Naga brindan visión de un área grande. Ubica a una unidad cerca de una Torre Xel'Naga para controlarla.
