Amorphous Armorcloud	Zasłona amorficzna
Vice President, Global Corporate Communications	Wiceprezes ds. globalnej komunikacji korporacyjnej
User Interface Artists	Graficy interfejsu użytkownika
Business Operations Team	Zespół operacji biznesowych
Writer	Scenarzysta
Graphics Engineer	Inżynier graficzny
Sound Designer	Projektant udźwiękowienia
Administrative Support	Wsparcie administracyjne
Chief Product Officer	Główny dyrektor ds. produktu
Vice President, Global Insights	Wiceprezes ds. globalnego audytu
Director, Database Engineering	Dyrektor ds. inżynierii bazy danych
OWL Analytics	Analitycy OWL
Music Director	Kierownik ds. muzyki
Broadcast Team	Zespół ds. transmisji
Vice President, Global Broadcast, Events and Marketing Services	Wiceprezes działu globalnych transmisji, wydarzeń i marketingu
Events Engineering	Inżyniera w dziale wydarzeń
Regional Publishing Team	Regionalny zespół ds. wydawniczych
Events Administration	Administracja działu wydarzeń
Events Program Management	Zarządzanie programowe w dziale wydarzeń
Regional Publishing Marketing Team	Regionalny zespół działu wydawniczego ds. marketingu
Regional Web Services	Regionalny dział usług sieciowych
Production Director, Audio	Dyrektor ds. produkcji w dziale udźwiękowienia
Production Director, Creative Development & Blizzard Animation	Kierownik produkcji w dziale rozwoju kreatywnego i animacji Blizzarda
Regional Managing Directors	Regionalni dyrektorzy ds. zarządzania
Regional Publishing Directors	Regionalni dyrektorzy ds. wydawniczych
Regional Vice President and Managing Directors	Regionalny wiceprezes i dyrektorzy zarządzający
Director, Blizzard Animation	Dyrektor działu animacji Blizzarda
Customer Service Americas Admin Support	Wsparcie administracyjne działu obsługi klienta – Ameryki
Customer Service EU Office and Admin Support	Kadra biurowa i wsparcie administracyjne działu obsługi klienta – Europa
Service Operations Management	Kierownictwo działu usług operacyjnych
Vice President, Global Publishing	Wiceprezes działu globalnych operacji wydawniczych
International Vice President and Managing Director	Międzynarodowy wiceprezes i dyrektor zarządzający
Regional Publishing Community Management	Regionalne kierownictwo działu wydawniczego ds. społeczności
Director, IT Management	Dyrektor działu IT
Regional Public Relations Team	Regionalny zespół działu PR
Regional Public Relations Management	Regionalne kierownictwo działu PR
Editorial Team	Zespół działu redakcyjnego
Editorial Management	Kierownictwo działu redakcyjnego
Site Reliability Engineers	Inżynierowie ds. niezawodności strony
Sr. Director, Global Broadcast	Starszy kierownik działu globalnych transmisji
Senior Creative Director	Starszy dyrektor kreatywny
Creative Services Management	Kierownictwo działu usług kreatywnych
Creative Services Leads	Kierownicy działu usług kreatywnych
Creative Services Team	Zespół działu usług kreatywnych
CRM Director	Dyrektorzy działu zarządzanie kontaktami z klientami
CRM Management	Kierownictwo działu zarządzanie kontaktami z klientami
CRM Team	Zespół działu zarządzanie kontaktami z klientami
Editorial Director	Dyrektor działu redakcyjnego
Global Research and Consumer Insights Director	Dyrektor działu globalnych badań i analizy konsumentów
Global Research and Consumer Insights Team	Zespół działu globalnych badań i analizy konsumentów
Project Management Team	Zespół działu zarządzania projektem
International Vice President	Międzynarodowy wiceprezes
Regional Vice Presidents	Regionalni wiceprezesi
Regional Publishing Community Team	Regionalny zespół działu wydawniczego ds. społeczności
Game Art Lead	Główny grafik gry
Business Director	Dyrektor biznesowy
Team Members	Członkowie zespołu
Cinematics	Filmy
Business Intelligence & Risk	Wywiad biznesowy i szacowanie ryzyka
Facilities & Purchasing	Zakupy i zaplecze
Finance, Accounting, & Administration	Finanse, księgowość i administracja
Senior Vice President of Story & Franchise Development	Pierwszy wiceprezes zarządu ds. rozwoju serii i fabuły
DEVELOPMENT TEAM	ZESPÓŁ TWÓRCÓW
Quality Assurance	Kontrola jakości
Support Systems & Automation	Wsparcie systemowe i automatyzacja
Localization	Lokalizacja
Project Management & Analytics	Zarządzanie i analiza projektu
Mac Development	Rozwój produktu (Mac)
Anvil	Anvil
Video & Post Production	Wideo i postprodukcja
Service Technologies	Technologie usług
Video & Post Production Producers	Producenci działu wideo i postprodukcji
International Publishing and Operations Management Team	Zespół ds. międzynarodowej działalności wydawniczej
Global eSports Team	Globalny zespół ds. e-sportu
Vault Archiving	Archiwizacja
Technical Artists	Graficy techniczni
Lead Artists	Główni graficy
Level Designers	Projektanci poziomów
Lead Level Designer	Główny projektant poziomów
Design Managers	Kierownicy ds. projektowania
Engine Engineers	Inżynierowie silnika gry
Engineering Managers	Kierownicy ds. inżynierii
Strike Team	Zespół uderzeniowy
Strike Team Lead	Szef zespołu uderzeniowego
Compliance Management	Kierownictwo działu zgodności
Production Lead	Główny specjalista działu produkcji
Vice President, Global Human Resources & Internal Communications	Wiceprezes działu kadr i komunikacji wewnętrznej
Vault Curation	Nadzór nad archiwami
Test Leadership	Wsparcie testów
User Interface Designers	Projektanci interfejsu użytkownika
Lead Engine Engineer	Główny inżynier silnika gry
Lead Online Engineer	Główny inżynierowie gry online
Sound Producers	Producenci udźwiękowienia
Audio Team	Zespół ds. udźwiękowienia
Additional Music Editing and Implementation	Dodatkowy montaż i implementacja muzyki
Director, Partnerships and Promotions	Dyrektor działu współpracy i promocji
Manager, Corporate Alliances	Kierownik ds. współpracy korporacyjnej
Senior Manager, Business Development	Starszy kierownik działu rozwoju biznesowego
Business Development Manager	Kierownik działu rozwoju biznesowego
Learning and Development Manager, Customer Service Americas	Kierownik ds. nauki i rozwoju w dziale obsługi klienta w obu Amerykach
Customer Service Director Ireland, Customer Services Europe	Dyrektor ds. obsługi klienta w Irlandii
Senior Learning and Development Manager, Customer Support Europe	Starszy kierownik ds. nauki i rozwoju w dziale obsługi klienta w Europie
Customer Support Americas	Zarządzanie obsługą klienta w obu Amerykach
Customer Support Korea	Obsługa klienta w Korei
Group Management, Customer Support Americas	Zarządzanie grupą ds. obsługi klienta w obu Amerykach
Customer Support Europe	Obsługa klienta w Europie
Learning and Development Team, Customer Support Americas	Zespół ds. nauki i rozwoju w dziale obsługi klienta w obu Amerykach
Group Management, Customer Support Europe	Zarządzanie grupą ds. obsługi klienta w Europie
Regional Planning and Support Services Management, Customer Support Europe	Zarządzanie planowaniem regionalnym i usługami wsparcia w dziale obsługi klienta w Europie
Regional Planning and Support Services Team, Customer Support Europe	Zespół ds. planowania regionalnego i obsługi klienta w dziale obsługi klienta w Europie
Learning and Development Team, Customer Support Europe	Zespół ds. nauki i rozwoju w dziale obsługi klienta w Europie
Group Management, Customer Support Korea	Zarządzanie grupą ds. obsługi klienta w Korei
Regional Planning and Support Services Manager, Customer Support Korea	Kierownik ds. regionalnego planowania i usług wsparcia w dziale obsługi klienta w Korei
Regional Planning and Support Services Team, Customer Support Korea	Zespół ds. planowania regionalnego i obsługi klienta w dziale obsługi klienta w Korei
Learning and Development Team, Customer Support Korea	Zespół ds. nauki i rozwoju w dziale obsługi klienta w Korei
Support Information Team, Customer Support Taiwan	Zespół działu informacji pomocy technicznej i obsługi klienta w Tajwanie
Customer Service Manager, Customer Support China	Kierownik działu obsługi klienta w Chinach
Customer Service Operations Team, Customer Support China	Zespół operacyjny ds. obsługi klienta w Chinach
Director, Global Rewards	Globalny dyrektor ds. nagród
Director, Global Talent Acquisition	Globalny kierownik działu pozyskiwania talentów
Director of Localization, Europe	Dyrektor ds. lokalizacji w Europie
Additional Engineering Leadership	Kierownictwo nad dodatkowymi pracami inżynieryjnymi
Director of Operations, Europe	Dyrektor operacyjny w Europie
Executive Vice President of International & Customer Service Management	Dyrektor wykonawczy ds. zarządzania usługami międzynarodowymi i obsługą klienta
Battle.net Design	Projekt platformy Battle.net
Battle.net Support	Wsparcie dla platformy Battle.net
Battle.net Technical Writing	Tworzenie dokumentacji technicznej dla platformy Battle.net
Business Intelligence Management	Zarządzanie wywiadem biznesowym
Risk Team Management	Zarządzanie zespołem ds. ryzyka
Vice President, Global Integrated Marketing	Wiceprezes działu zintegrowanego marketingu globalnego
Vice President, Global Sales	Wiceprezes ds. sprzedaży globalnej
Vice President, Global Communications	Wiceprezes ds. globalnej komunikacji
Executive Vice President, Global Marketing	Dyrektor wykonawczy działu globalnego marketingu
Business Strategy & Planning Director	Dyrektor działu strategii biznesowej i planowania
IT Administrators	Administratorzy działu IT
IT Management	Kierownictwo działu IT
IT Technicians	Technicy działu IT
IT Engineers	Inżynierowie działu IT
IT PMO	Biuro projektów działu IT
Vice President, Global IT	Wiceprezes globalnego działu IT
IT Directors	Dyrektorzy działu IT
IT Security	Bezpieczeństwo działu IT
IT Analysts	Analitycy działu IT
Test Lead	Kierownictwo testów
Collegiate and Amateur eSports Managers	Kierownicy ds. studenckich i amatorskich rozgrywek e-sportowych
Collegiate and Amateur eSports Team	Zespół ds. studenckich i amatorskich rozgrywek e-sportowych
Blizzard Animation Leadership	Kierownictwo działu animacji Blizzarda
Blizzard Animation Artists	Graficy działu animacji Blizzarda
Blizzard Animation Technology	Technolodzy działu animacji Blizzarda
Director of Operations	Dyrektor ds. operacji
Vice President, Art and Cinematic Development	Wiceprezes działu grafiki i opracowania filmów
Creative Development Artists	Artyści działu rozwoju twórczego
Creative Development Writers	Scenarzyści w dziale rozwoju twórczego
Creative Development Production	Produkcja w dziale rozwoju twórczego
Consumer Products Leadership	Kierownictwo działu produktów konsumenckich
Design	Projekt
Editorial	Edycja
Engineers	Inżynierowie
Blizzard Animation Production	Produkcja w dziale animacji Blizzarda
VFX Supervisor	Nadzór nad efektami
Director of Technology	Dyrektor ds. technologii
Audio Design	Projektowanie dla działu udźwiękowienia
Show Leadership	Kierownictwo działu imprez
Analysts	Analitycy
Group Managers	Kierownicy grup
Sound Design	Opracowanie dźwiękowe
Coordinator	Koordynator
Additional Artists, Technology, & Production	Dodatkowi artyści technologii i produkcji
Video & Post Production, Live Broadcast	Transmisje na żywo w dziale wideo i postprodukcji
IT Technical Writing	Tworzenie dokumentacji technicznej działu IT
IT Design	Projektowanie dla działu IT
Vault Production	Produkcja archiwów
Vice President, Asia Marketing	Wiceprezes działu marketingu w Azji
Product Lead	Specjalista ds. produktu
Director, Global Security	Dyrektor ds. bezpieczeństwa globalnego
Strategy & Planning Analysts	Analitycy działu strategii i planowania
Corporate Applications Design	Projektowanie w dziale zastosowań korporacyjnych
Corporate Applications Production	Produkcja w dziale zastosowań korporacyjnych
Database Administrators	Administratorzy bazy danych
Database Administration Management	Kierownictwo działu zarządzania bazami danych
Technicians	Technicy
Director, Database Administration	Dyrektor działu zarządzania bazami danych
Senior Manager, Information Systems	Starszy kierownik działu systemów informatycznych
Process Administration	Nadzór nad procesami
Operations Technicians	Technicy ds. operacji
Project Analysis	Analiza projektu
Security Analysts	Analitycy działu bezpieczeństwa
Security Administration	Administracja działu bezpieczeństwa
Security Specialists	Specjaliści ds. bezpieczeństwa
System Administration	Administracja systemów
Service Engineers	Inżynierzy ds. usług
Service Manager	Kierownik ds. usług
Infrastructure Technicians	Technicy ds. insfrastruktury
Video & Post Production, Producers	Producenci w dziale wideo i postprodukcji
Web & Mobile Design	Projektowanie w dziale Internetu i urządzeń przenośnych
Web & Mobile Program Management	Zarządzanie programem w dziale Internetu i urządzeń przenośnych
Web & Mobile Editorial	Redakcja działu Internetu i urządzeń przenośnych
Web & Mobile Engineers	Inżynierowie działu Internetu i urządzeń przenośnych
Vice President of Public Relations and Communications, Europe	Wiceprezes ds. public relations i komunikacji w Europie
Vice President and Managing Director, Korea	Wicedyrektor i dyrektor zarządzający w Korei
TECHNOLOGY DEVELOPMENT AND PRODUCT SUPPORT	ROZWÓJ TECHNOLOGII I WSPARCIE PRODUKTU
BLIZZARD DEVELOPMENT FAMILY	RODZINA TWÓRCÓW BLIZZARDA
THIRD PARTY CREDITS	PARTNERZY ZEWNĘTRZNI
SPECIAL THANKS	SPECJALNE PODZIĘKOWANIA
ACKNOWLEDGEMENTS	SŁOWA UZNANIA
THIRD PARTY CREDITING	PARTNERZY ZEWNĘTRZNI
Camera Follow Disabled	Kamera śledząca wyłączona
Camera Follow Enabled	Kamera śledząca włączona
