Amorphous Armorcloud	Blindagem Nebulosa Amorfa
The return on investment for replacing a baneling's entire nervous system, only to have it immediately blow up, is dubious. Luckily, Cerberus's clients have quite a lot of money to spend.	Investir em trocar o sistema nervoso inteiro de um tatu-bomba para fazer com que ele exploda imediatamente não gera um retorno tão óbvio. Por sorte, os clientes do Cerberus têm muito dinheiro para gastar.
The spine-like growths of Leviathan Brood zerglings remain present on the acid sacs of their banelings. Even a total metamorphosis is incapable of changing the chaotic nature of their core essence.	As protuberâncias espinhosas dos zergnídeos da Casta Leviatã continuam presentes nos sacos de ácido dos seus Tatus-bomba. Nem uma metamorfose total é capaz de mudar a natureza caótica de sua essência.
Procyon Industries designed banshees to be both economical and effective. Built specifically to provide air support for frontline infantry, they are ideal aircraft for tactical strikes.	As Indústrias Procyon projetaram as Vudus para serem econômicas e eficientes. Construídas especificamente para dar apoio aéreo à infantaria nas linhas de frente, elas são aeronaves ideais para ataques cirúrgicos.
Dominion engineers have made critical upgrades in the banshee's twin VTOL turbofans, enabling superior stability and performance when paired with the new vertical stabilizer in the rear of the craft.	Os engenheiros da Supremacia fizeram melhorias cruciais nos turbopropulsores VTOL das Vudus, propiciando maior estabilidade e desempenho em conjunto com o novo estabilizador vertical na traseira da nave.
Mercenaries are infamous for cobbling together pieces of equipment on their machinery, and these banshees are no exception. Rumor has it that some bulldozer parts are involved in this particular design.	Mercenários são famosos por adaptar partes de equipamentos diversos em suas máquinas, e esses vudus não são exceção. Dizem os boatos que este projeto específico usa peças de trator.
Though most Tyrador banshees were wiped out in the first wave of the Cerberus zerg attack, one seasoned pilot managed to take down three ultralisks first.	Apesar de a maioria das vudus de Tyrador terem sido eliminadas na primeira investida do ataque de zergs Cerberus, um piloto experiente conseguiu abater três mammuthus.
Through a series of backdoor deals, the Umojan Protectorate has been able to acquire a limited number of banshees from Procyon Industries, although the company maintains that they were stolen.	Mediante uma série de negociações clandestinas, o Protetorado Umojano conseguiu adquirir um número limitado de vudus das Indústrias Procyon, embora a empresa insista que eles foram roubados.
A home-away-from-home for terran infantry personnel, terran barracks are sterile, mobile, and capable of efficient deployment.	Segunda casa dos integrantes da infantaria terrana, o quartel terrano é árido, móvel e capaz de mobilizar tropas eficientemente.
A liquid nitrogen cooling system gives the special forces barracks an eerie blue glow.	O sistema de refrigeração a nitrogênio líquido gera um brilho azul sinistro no quartel das forças especiais.
Each Knights of Tyrador barracks features a five-star robotic kitchen and a full-service spa--for officers only, of course.	Todo quartel dos Cavaleiros de Tyrador inclui uma cozinha robótica cinco estrelas e um spa completo... somente para oficiais, é claro.
Battlecruisers often serve as mobile command headquarters during extended military campaigns. They are flying fortresses outfitted with heavy armor and imposing weaponry.	Cruzadores de Batalha são muito usados como quartéis-generais durante campanhas militares prolongadas. São fortalezas voadoras aparelhadas com blindagem maciça e armamento pesado.
After a lengthy research and development process, the newly upgraded Moirai class battlecruisers were approved for exclusive use by Dominion Special Forces.	Depois de um demorado processo de pesquisa e desenvolvimento, os novos Cruzadores de Batalha da classe Moirai foram aprovados para uso exclusivo das Forças Especiais da Supremacia.
These ferocious vessels have been modified to suit the mercenaries' preferences. However, few onlookers live long enough to admire their handiwork.	Esses veículos ferozes foram modificados para se adaptar às preferências dos mercenários. No entanto, poucas testemunhas vivem o suficiente para admirar a qualidade do trabalho.
The command decks of Brood War-era battlecruisers had a lower profile, with port and starboard viewdecks to ensure maximum visibility in the event of a zerg ambush.	As pontes de comando dos cruzadores de batalha da era da Guerra das Castas eram mais discretas, com plataformas a bombordo e estibordo para garantir visibilidade máxima em caso de emboscada zerg.
Assailed by Cerberus zerg, the Knights of Tyrador dispatched a Behemoth-class battlecruiser to request aid from the stone ships waiting in silent orbit.	Atacados pelos zergs Cerberus, os Cavaleiros de Tyrador mandaram um cruzador de batalha da classe Beemote para pedir ajuda às naves de pedra que aguardavam em uma órbita silenciosa.
Umojan battlecruisers feature redesigned neosteel plating, as well as refinements to the Yamato cannons that make them particularly distinctive in battles.	Os cruzadores de batalha umojanos apresentam um revestimento de novoaço, além de refinamentos nos canhões Yamato que os distinguem bastante nas batalhas.
Evolved to rule the skies, the brood lords are terrifying creatures that hurl their destructive broodlings at enemy forces.	Evoluídos para dominar os céus, os Lordes das Castas são criaturas terríveis que arremessam Parasitoides destrutivos nos inimigos.
Upon completing the brood lord prototype which exceeded all standards, the team of Project Simulant scientists were sent on leave for a celebratory vacation. Strangely, they never returned...	Após completar o protótipo de lorde das castas que excedeu todos os padrões, a equipe de cientistas do Projeto Simulante foi dispensada para tirar férias em comemoração. Estranhamente, eles nunca voltaram...
A small number of brood lords have been integrated into primal zerg packs, resulting in a strikingly different creature most notable for its unusual claws.	Um pequeno número de lordes das castas foi integrado às matilhas de zergs primevos, resultando em uma criatura muito diferente, com garras incomuns.
Each broodling dispatched from the Cerberus brood lord can be controlled individually by a commander safe at a computer console, far away from the actual battle.	Cada parasitoide mandado pelo senhor de casta Cerberus pode ser controlado individualmente de um local seguro, longe da batalha, por um comandante com um console computacional.
Despite their late introduction into the Swarm, many brood lords still bear the Leviathan Brood's signature genetic traits--likely a sign of early essence experimentation by the evolution master, Abathur.	Apesar de sua introdução tardia no Enxame, muitos Lordes das Castas ainda carregam os traços genéticos característicos da Casta Leviatã — um indício provável de experimentos com essência conduzidos pelo mestre evolutivo Abathur.
While infesting a planet with exceptionally large seas, some brood lords took to the water and evolved the ability to dive deep into the trenches while devouring their prey.	Ao infectar planetas com oceanos muito grandes, alguns Lordes das Castas foram para a água e desenvolveram a capacidade de mergulhar nas profundezas das fossas enquanto devoram sua presa.
Due to its ubiquity and lack of amenities, terran infantry commonly refer to bunkers as "battlefield coffins."	Por conta da falta de comodidade e da onipresença, a infantaria terrana costuma chamar as casamatas de "caixões de campo de batalha".
The next-generation Dominion bunker can withstand the full weight of an ultralisk, but what most marines are excited about is the fact that it comes with chairs.	A casamata de última geração da Supremacia consegue sustentar todo o peso de um mammuthus, mas o que deixa os soldados animados é que ela vem com cadeiras.
Tyrador's supercooled bunkers make for comfortable reconnaissance, even in sweltering tropical vacation zones.	As casamatas refrigeradas de Tyrador permitem um reconhecimento confortável, mesmo nas sufocantes zonas tropicais de férias.
These magnificent capital ships are known to inspire hope in the hearts of the templar--or fear in their enemies. Armed with swift interceptors, they are a formidable force on the battlefield.	Essas magníficas naves capitânias são conhecidas por inspirar esperança nos corações dos templários — ou medo no coração dos inimigos. Armadas com interceptores velozes, elas são uma força formidável no campo de batalha.
A small number of carriers have been rebuilt using ancient techniques to better resemble their counterparts from the period after the Aeon of Strife. They are primarily used for diplomatic visits.	Algumas transportadoras foram reconstruídas com técnicas antigas para remeter aos seus equivalentes do período após a Era da Discórdia. Elas são usadas principalmente em visitas diplomáticas.
The animated stone developed by the Ihan-rii protoss is light, durable, and chemically inert, making it the perfect material for massive deep-space ships.	A pedra animada desenvolvida pelos protoss Ihan-rii é leve, durável e quimicamente inerte, o que a torna a matéria-prima perfeita para naves colossais que cruzam o espaço profundo.
The Purifier carrier is a streamlined creation that perfectly combines automation expertise with the deadliest of drone weapons.	A transportadora dos Purificadores é uma criação aerodinâmica que combina perfeitamente a perícia em automação com os drones bélicos mais letais.
Carriers modeled after legendary flagship Gantrithor continue to be built in certain corners of Protoss space, to honor Tassadar and the sacrifice he made.	Transportadoras inspiradas na lendária nau capitânia Ganthrithor ainda são construídas em certas regiões do espaço Protoss para honrar Tassadar e seu sacrifício.
Tal'darim shipwrights excel at repurposing khalai engineering for bloodshed. The carriers that make up the majority of the death fleet are warships through and through.	Os armadores Tal'darim são muito competentes em reprojetar a engenharia khalai para o morticínio. As Transportadoras que compõem a maioria da frota da morte são perfeitas naves de guerra.
Amon corrupted a large portion of the Golden Armada, using their warriors as his own. These possessed protoss took on a different appearance due to the Void energy, and their ships were likewise changed.	Amon corrompeu uma grande parte da Armada Dourada, tomando controle dos guerreiros. Esses protoss possuídos assumiram outra aparência devido à energia do Vazio, e suas naves também foram transformadas.
Colossi were the first protoss robots designed solely for destruction. They are both a symbol of a bloody history and a necessary weapon to secure a peaceful future.	Os colossos foram os primeiros robôs protoss projetados unicamente para destruição. Eles são tanto um símbolo de uma história sangrenta quanto uma arma para garantir um futuro pacífico.
Deemed too dangerous for use after the Kalath Intercession, the Purifier program's colossi are legendary among the Templar's warriors. These are the ultimate purification machines.	Considerados perigosos demais para serem usados depois da Intervenção Kalath, os colossos do programa Purificador são uma lenda entre os guerreiros templários. São máquinas de purificação perfeitas.
Selected colossi that saw combat in the End War have been remodeled in a traditionalist style using the finest materials available. They now resemble the grandest of ancient protoss robotics.	Colossos selecionados usados em combate na Guerra Final foram remodelados com um estilo tradicionalista e os melhores materiais disponíveis. Agora eles lembram os maiores feitos robóticos dos antigos protoss.
The many stone components of the Ihan-rii colossus are levitated and held together by void energies emanated from repurposed xel'naga dynamos.	Os muitos componentes pétreos dos colossos Ihan-rii são levitados e mantidos unidos por energias do vazio que emanam de dínamos xel'naga modificados.
The latest in Purifier engineering has yielded a sleek, subtly enhanced colossus that is nonetheless a brutal war machine.	A tecnologia de última geração dos Purificadores criou um colosso esguio e sutilmente aprimorado que se revela uma máquina de guerra brutal.
Relics of wars long over, colossi that lay buried and forgotten across the sector are often unearthed and reactivated by Tal'darim ascendants who seek superior firepower.	Relíquias de guerras passadas, os colossos enterrados por todo o setor costumam ser desenterrados e reativados por ascendentes Tal'darim que buscam poder de fogo superior.
Lower ranking ascendants often dare each other to disable and commandeer an active colossus. If one succeeds, the Tal'darim gain a powerful war machine. If not, a rival ascendant has been eliminated.	Ascendentes de casta mais baixa costumam desafiar uns aos outros para ver quem consegue desativar e sequestrar um colosso ativo. Quando conseguem, os Tal'darim ganham poderosas máquinas de guerra. Quando não conseguem, ascendentes rivais são eliminados.
Mobile and practical, command centers are resource processors that can relocate to wherever minerals or vespene gas are plentiful.	Práticas e móveis, as centrais de comando são processadoras de recursos que podem ser reposicionadas em qualquer lugar com minérios e gás vespeno em abundância.
Reinforced repulsor landing claws help this command center find solid footing in even the harshest environments.	Garras de aterrissagem com repulsores reforçados ajudam essa central de comando a manter a firmeza mesmo nos ambientes mais impiedosos.
Previous iterations of the command center had an extensible interface in order to connect with external add-ons. These were later replaced with internal bays for increased security.	As versões anteriores da central de comando tinham uma interface extensível para conexão de adicionais externos. Esses adicionais foram substituídos posteriormente por polos internos para oferecer mais segurança.
After the arrival of the Ihan-rii protoss, Tyrador's command centers played host to diplomatic envoys from around the Koprulu Sector, each intent on recruiting the newcomers to their own specific political agenda.	Após a chegada dos protoss Ihan-rii, as centrais de comando de Tyrador abrigaram missões diplomáticas de todo o Setor Koprulu, todas decididas a convencer os recém-chegados a aderir aos seus interesses políticos.
Held aloft by a biologically produced electromagnetic field, corruptors can spray a stream of caustic acid that eats through even the most durable of construction materials.	Erguidos por um campo eletromagnético produzido biologicamente, os Corruptores podem borrifar um jorro de ácido que corrói até os mais resistentes materiais de construção.
Rather than spores, these mechanical corruptors possess self-replicating nanites that have been programmed to perform the same function, disturbingly enough.	Em vez de esporos, esses corruptores mecânicos têm nanoides autorreplicantes programados para executar a mesma função, algo bastante perturbador.
The original corruptors have the distinction of being adapted by both the Swarm and the primal zerg. The latter have adapted thicker claws and carapaces to assist with their rigorous feeding process.	Os corruptores originais têm a distinção de serem adaptados pelo Enxame e pelos zergs primevos. Estes últimos adaptaram garras e carapaças mais grossas para ajudar em seu rigoroso processo de alimentação.
