Amorphous Armorcloud	Protezione informe
BASSOONS	FAGOTTI
BRAZILIAN PORTUGUESE & LATIN AMERICAN SPANISH (Babel Media, Ltd.)	PORTOGHESE BRASILIANO E SPAGNOLO SUD AMERICANO (Babel Media, Ltd.)
BRAZILIAN PORTUGUESE (Babel Media, Ltd.)	PORTOGHESE BRASILIANO (Babel Media, Ltd.)
BUSINESS DEVELOPMENT	SVILUPPO AFFARI
BUSINESS INTELLIGENCE	ANALISI AFFARI
Bralik	Bralik
Dan Gilvezan	Luigi Rosa
CASTILIAN SPANISH	SPAGNOLO CASTIGLIANO
CASTING DIRECTOR	DIRETTORE CASTING
CELLI	VIOLONCELLI
CHINA CUSTOMER SERVICE AND OPERATIONS	ASSISTENZA CLIENTI E OPERAZIONI CINA
CHINA CUSTOMER SUPPORT	ASSISTENZA CLIENTI CINA
CHINA TEAM	SQUADRA CINA
CHOIRMASTER	MAESTRO DEL CORO
CHOIR RECORDED AT	CORO REGISTRATO PRESSO
CHORAL PERFORMANCE BY	ESECUZIONE CORALE DI
CINEMATIC ART DIRECTORS	DIRETTORI GRAFICA FILMATI
CINEMATIC ARTISTS	GRAFICI FILMATI
CINEMATIC AUDIO	AUDIO FILMATI
CINEMATICS	FILMATI
CLARINET	CLARINETTO
COMMUNICATIONS COORDINATOR	COORDINATORE COMUNICAZIONI
COMMUNITY AND ESPORTS	COMUNITÀ ED E-SPORT
COMPATIBILITY	COMPATIBILITÀ
COMPOSERS	COMPOSITORI
CONTENT RESEARCH ADMINISTRATORS	AMMINISTRATORI RICERCHE CONTENUTI
CONTENT RESEARCH SUPERVISOR	SUPERVISORE RICERCHE CONTENUTI
CONTRACTED BY	ORGANIZZATORE
COORDINATORS	COORDINATORI
CORPORATE APPLICATIONS	APPLICAZIONI AZIENDALI
CREATIVE DEVELOPMENT	SVILUPPO CREATVO
CREATIVE DIRECTOR	DIRETTORE CREATIVO
CS PROJECT LEADS	CAPI PROGETTO SC
CS PROJECT TEAM MANAGER	RESPONSABILE SQUADRA PROGETTO SC
CS PROJECT TEAM REPRESENTATIVES	INCARICATI SQUADRA PROGETTO SC
CS TOOLS TEAM MANAGER	RESPONSABILE SQUADRA STRUMENTI SC
CURATOR AND ASSET SERVICES LEAD	AMMINISTRATORE E CAPO SERVIZI FINANZIARI
CURATORIAL ASSISTANTS	ASSISTENTI AMMINISTRATIVI
CUSTOMER CARE AND LOYALTY MANAGER	RESPONSABILE CURA E FEDELTÀ CLIENTI
CUSTOMER SERVICE MANAGER	RESPONSABILE SERVIZIO CLIENTI
CUSTOMER SUPPORT COORDINATOR	COORDINATORE ASSISTENZA CLIENTI
CUSTOMER SUPPORT GROUP MANAGERS	CAPIGRUPPO ASSISTENZA CLIENTI
CUSTOMER SUPPORT REPRESENTATIVES	INCARICATI ASSISTENZA CLIENTI
CUSTOMER SUPPORT SENIORS	SENIOR ASSISTENZA CLIENTI
CUSTOMER SUPPORT TEAM MANAGERS	RESPONSABILI SQUADRA ASSISTENZA CLIENTI
Confederate Adjutant	Aiutante confederata
Cooper	Cooper
DEPARTMENT LEADS	CAPI DIPARTIMENTO
DEPARTMENT SUPERVISORS	SUPERVISORI DIPARTIMENTO
DEPUTY GENERAL COUNSEL	VICECAPO UFFICIO LEGALE
DESIGN DIRECTOR	DIRETTORE PROGETTO
DESIGNERS	PROGETTISTI
DIALOGUE RECORDING	REGISTRAZIONE DIALOGHI
DIGITAL ARCHIVIST	ARCHIVISTA DIGITALE
DIRECTOR	DIRETTORE
DIRECTOR - AUSTIN	DIRETTORE - AUSTIN
DIRECTOR, BUSINESS OPS, CHINA	DIRETTORE OPERAZIONI COMMERCIALI CINA
DIRECTOR, GLOBAL EVENTS	DIRETTORE EVENTI MONDIALI
DIRECTOR, GLOBAL STAFFING AND RECRUITMENT	DIRETTORE PERSONALE E ASSUNZIONI MONDIALI
DIRECTOR, LATIN AMERICAN OPERATIONS	DIRETTORE OPERAZIONI AMERICA LATINA
DIRECTOR OF AUDIO	DIRETTORE AUDIO
DIRECTOR OF BUSINESS DEVELOPMENT AND LICENSING	DIRETTORE SVILUPPO AFFARI E LICENZE
DIRECTOR OF COMMUNICATIONS AND COMMUNITY	DIRETTORE COMUNICAZIONI E COMUNITÀ
DIRECTOR OF SPECIAL PROJECTS	DIRETTORE PROGETTI SPECIALI
DIRECTOR, REGIONAL OPERATIONS, NORTH ASIA	DIRETTORE OPERAZIONI REGIONALI ASIA SETTENTRIONALE
DIRECTORS	DIRETTORI
DVD/VIDEO PRODUCTION	PRODUZIONE DVD/VIDEO
Donny Vermillion	Donny Vermillion
Dr. Narud	Dottor Narud
EDITORIAL ASSISTANT	ASSISTENTE EDITORIALE
ENGINEER	INGEGNERE
EUROPE CUSTOMER SUPPORT	ASSISTENZA CLIENTI EUROPA
EUROPE TEAM	SQUADRA EUROPA
EVENTS	EVENTI
EVENTS SPECIALIST	SPECIALISTA EVENTI
EXECUTIVE ASSISTANTS	ASSISTENTI ESECUTIVI
EXECUTIVE PRODUCER	PRODUTTORE ESECUTIVO
EXECUTIVES	DIRIGENTI
Earl	Earl
Scott Menville	Davide Garbolino
Executor Selendis	Esecutore Selendis
FACILITIES	IMPIANTI
FIDDLE	VIOLINO
FLUTES	FLAUTI
FOLEY ARTIST	RUMORISTA
FOLEY MIXER	MISSAGGIO RUMORI
FRENCH	FRANCESE
<s val="CreditsSmallHeading">GAME DESIGN</s></n>BLIZZARD ENTERTAINMENT	<s val="CreditsSmallHeading">PROGETTAZIONE GIOCO</s></n>BLIZZARD ENTERTAINMENT
GAME DESIGNERS	PROGETTISTI GIOCO
GAME DESIGN LEADS	CAPI PROGETTISTI GIOCO
GERMAN	TEDESCO
GLOBAL COMMUNITY DEVELOPMENT	SVILUPPO COMUNITÀ MONDIALE
GLOBAL CUSTOMER SUPPORT	ASSISTENZA CLIENTI MONDIALE
GLOBAL DIRECTOR	DIRETTORI MONDIALI
GLOBAL ESPORTS	E-SPORT MONDIALI
GLOBAL INFORMATION TECHNOLOGIES MANAGERS	RESPONSABILI MONDIALI TECNOLOGIE INFORMATIVE
GLOBAL MANAGER	RESPONSABILE MONDIALE
GLOBAL MARKETING	MARKETING MONDIALE
GLOBAL PLANNING AND SUPPORT SERVICES DIRECTOR	DIRETTORE SERVIZI MONDIALI PIANIFICAZIONE E ASSISTENZA
GLOBAL PLANNING AND SUPPORT SERVICES PROJECT MANAGERS	RESPONSABILI PROGETTO SERVIZI MONDIALI PIANIFICAZIONE E ASSISTENZA
GLOBAL PLANNING AND SUPPORT SERVICES TEAM	SQUADRA SERVIZI MONDIALI PIANIFICAZIONE E ASSISTENZA
GLOBAL PLANNING AND SUPPORT SERVICES TEAM REPRESENTATIVES	INCARICATI SQUADRA SERVIZI MONDIALI PIANIFICAZIONE E ASSISTENZA
GLOBAL POLICY COUNCIL MANAGER	RESPONSABILE CONSIGLIO POLITICA MONDIALE
GLOBAL STARCRAFT II SUPPORT PROJECT MANAGER	RESPONSABILE PROGETTO ASSISTENZA MONDIALE STARCRAFT II
GLOBAL WORKFORCE AND REPORTING	FORZA LAVORO E RELAZIONI MONDIALI
GLOBAL WORKFORCE AND REPORTING MANAGER	RESPONSABILE FORZA LAVORO E RELAZIONI MONDIALI
GUITAR/DOBRO	CHITARRA/DOBRO
GUITARS	CHITARRE
Gabriel Tosh	Gabriel Tosh
Dave Fennoy	Alex Poli
General Warfield	Generale Warfield
Graven Hill	Graven Hill
John Giosa	Alessandro D'Errico
HARMONICA	ARMONICA
HARP	ARPA
HISTORIANS	STORICI
HORNS	CORNI
HUMAN RESOURCES	RISORSE UMANE
<s val="CreditsSmallHeading_HotS">GAME DESIGN</s></n>BLIZZARD ENTERTAINMENT	<s val="CreditsSmallHeading_HotS">PROGETTAZIONE GIOCO</s></n>BLIZZARD ENTERTAINMENT
<s val="CreditsSmallHeading_HotS">STARCRAFT II</s></n>HEART OF THE SWARM	<s val="CreditsSmallHeading_HotS">STARCRAFT II</s></n>HEART OF THE SWARM
INFORMATION TECHNOLOGIES ADMINISTRATION	AMMINISTRAZIONE TECNOLOGIE INFORMATIVE
INFORMATION TECHNOLOGIES ENGINEERING	PROGRAMMAZIONE TECNOLOGIE INFORMATIVE
INFORMATION TECHNOLOGIES MANAGERS	RESPONSABILI TECNOLOGIE INFORMATIVE
INFORMATION TECHNOLOGIES PURCHASING	ACQUISIZIONE TECNOLOGIE INFORMATIVE
IN-GAME CINEMATICS ART DIRECTOR	DIRETTORE GRAFICA FILMATI DI GIOCO
IN-GAME CINEMATICS ARTISTS	GRAFICI FILMATI DI GIOCO
IN-GAME CINEMATICS DEPARTMENT LEAD	CAPO DIPARTIMENTO FILMATI DI GIOCO
IN-GAME CINEMATICS DEPARTMENT SUPERVISOR	SUPERVISORE DIPARTIMENTO FILMATI DI GIOCO
IN-GAME CINEMATICS PROJECT PRODUCER	PRODUTTORE PROGETTO FILMATI DI GIOCO
IN-GAME CINEMATICS SENIOR DEPARTMENT SUPERVISOR	SUPERVISORE SENIOR DIPARTIMENTO FILMATI DI GIOCO
IN-GAME SUPPORT MANAGER	RESPONSABILE SUPPORTO DI GIOCO
INTERNAL AFFAIRS REPRESENTATIVES	RAPPRESENTANTI AFFARI INTERNI
INTERNAL AFFAIRS SENIORS	RAPPRESENTANTI SENIOR AFFARI INTERNI
INTERNAL AFFAIRS TEAM MANAGER	RESPONSABILE SQUADRA AFFARI INTERNI
INTERNAL COMMUNICATIONS	COMUNICAZIONI INTERNE
INTERNATIONAL COMMUNITY & ESPORTS MANAGERS	RESPONSABILI COMUNITÀ INTERNAZIONALE ED E-SPORT
INTERNATIONAL OPERATIONS	OPERAZIONI INTERNE
ITALIAN (I.S.H. Srl)	ITALIANO (I.S.H. Srl)
Jessica Hall	Jessica Hall
KEYS	TASTIERE
KOREA CUSTOMER SUPPORT	ASSISTENZA CLIENTI COREA
KOREAN	COREANO
KOREA REGIONAL PLANNING AND SUPPORT SERVICES TEAM	SQUADRA PIANIFICAZIONE REGIONALE E SERVIZI ASSISTENZA COREA
KOREA TEAM	SQUADRA COREANA
Jason Marsden	Francesco Mei
Karass	Karass
Guerin Barry	Gabriele Calindri
Kate Lockwell	Kate Lockwell
LATIN AMERICAN SPANISH	SPAGNOLO LATINO AMERICANO
LATIN AMERICAN SPANISH (Babel Media, Ltd.)	SPAGNOLO LATINO AMERICANO (Babel Media, Ltd.)
LEAD ARTIST	CAPO GRAFICO
LEAD CHARACTERS	PROTAGONISTI
LEAD DESIGNER	CAPO PROGETTISTA
LEAD PRODUCER	PRODUTTORE CAPO
LEAD PRODUCERS	PRODUTTORI CAPI
LEAD PROGRAMMER	PROGRAMMATORE CAPO
LEAD PROGRAMMERS	PROGRAMMATORI CAPI
LEAD QA ANALYST	CAPO ANALISTA CQ
LEAD RELIABILITY ENGINEER	CAPO INGEGNERE AFFIDABILITÀ
LEADS	CAPI
LEAD SOUND DESIGN	CAPO PROGETTISTA AUDIO
LEAD TECHNICAL ARTIST	CAPO GRAFICO TECNICO
LEAD WEB DESIGNER	CAPO PROGETTISTA WEB
LEAD WEB DESIGNERS	CAPI PROGETTISTI WEB
LEAD WEB ENGINEER	CAPO INGEGNERE WEB
LEAD WEB PROGRAMMER	CAPO PROGRAMMATORE WEB
LEAD WRITERS	CAPO SCENEGGIATORE
LEARNING AND DEVELOPMENT MANAGER	RESPONSABILE APPRENDIMENTO E SVILUPPO
LEARNING AND DEVELOPMENT SPECIALIST	SPECIALISTA APPRENDIMENTO E SVILUPPO
LEARNING AND DEVELOPMENT SPECIALISTS	SPECIALISTI APPRENDIMENTO E SVILUPPO
LEARNING AND DEVELOPMENT TEAM MANAGER	RESPONSABILE SQUADRA APPRENDIMENTO E SVILUPPO
LEARNING & ORGANIZATIONAL DEVELOPMENT	APPRENDIMENTO E SVILUPPO ORGANIZZATIVO
LEGAL TEAM	UFFICIO LEGALE
LIBRARIAN	BIBLIOTECARIO
LICENSING	LICENZE
LIVE OPERATION LEAD	CAPO OPERAZIONI DAL VIVO
LIVE SESSIONS AND ORCHESTRATION PRODUCED BY	REGISTRAZIONI DAL VIVO E ORCHESTRAZIONE PRODOTTE DA
LOCALIZATION	LOCALIZZAZIONE
LOCALIZATION QA ANALYSTS	ANALISTI CQ LOCALIZZAZIONE
LOCALIZATION QA ASSISTANT MANAGERS	VICEDIRETTORI CQ LOCALIZZAZIONE
LOCALIZATION QA LEADS	CAPI CQ LOCALIZZAZIONE
LOCALIZATION QA MANAGER	RESPONSABILE CQ LOCALIZZAZIONE
Lee Keno	Lee Keno
<s val="CreditsSmallHeading_LotV">GAME DESIGN</s></n>BLIZZARD ENTERTAINMENT	<s val="CreditsSmallHeading_LotV">PROGETTAZIONE GIOCO</s></n>BLIZZARD ENTERTAINMENT
<s val="CreditsSmallHeading_LotV">STARCRAFT II</s></n>LEGACY OF THE VOID	<s val="CreditsSmallHeading_LotV">STARCRAFT II</s></n>LEGACY OF THE VOID
MACINTOSH PROGRAMMING	PROGRAMMAZIONE MACINTOSH
MANAGER	RESPONSABILE
MANAGERS	RESPONSABILI
MANAGING DIRECTOR, EUROPE	AMMINISTRATORE DELEGATO EUROPA
MANAGING DIRECTOR, GREATER CHINA	AMMINISTRATORE DELEGATO GRANDE CINA
MANAGING DIRECTOR, NORTH ASIA	AMMINISTRATORE DELEGATO ASIA SETTENTRIONALE
MANAGING DIRECTOR, SOUTHEAST ASIA	AMMINISTRATORE DELEGATO ASIA MERIDIONALE
MANAGING DIRECTOR, TAIWAN	AMMINISTRATORE DELEGATO TAIWAN
MARKETING	MARKETING
MARKETING CREATIVE SERVICES	SERVIZI CREATIVI MARKETING
MIXING	MISSAGGIO
MOBILE	MOBILE
MUSIC	MUSICA
MUSIC COPYISTS	COPISTI MUSICALI
MUSIC LIBRARIAN	SPARTITISTI
Marcus Cade	Marcus Cade
Keith Silverstein	Lorenzo Scattorin
Matt Horner	Matt Horner
Mike Liberty	Mike Liberty
Kath Soucie	Stefania Patruno
NETWORK OPERATIONS	OPERAZIONI RETE
NETWORK OPERATIONS ADMINISTRATION	AMMINISTRAZIONE OPERAZIONI RETE
NETWORK OPERATIONS ENGINEERING	PROGRAMMAZIONE OPERAZIONI RETE
NETWORK OPERATIONS MANAGERS	RESPONSABILI OPERAZIONI RETE
NORTH/SOUTH AMERICAN CUSTOMER SUPPORT	ASSISTENZA CLIENTI AMERICA NORD/SUD
NORTH/SOUTH AMERICAN REGIONAL PLANNING AND SUPPORT SERVICES TEAM	SQUADRA PIANIFICAZIONE REGIONALE E SERVIZI ASSISTENZA AMERICA NORD/SUD
<s val="CreditsSmallHeading_Nova">GAME DESIGN</s></n>BLIZZARD ENTERTAINMENT	<s val="CreditsSmallHeading_Nova">PROGETTAZIONE GIOCO</s></n>BLIZZARD ENTERTAINMENT
<s val="CreditsSmallHeading_Nova">STARCRAFT II</s></n>NOVA COVERT OPS	<s val="CreditsSmallHeading_Nova">STARCRAFT II</s></n>NOVA: OPERAZIONI SEGRETE
To all terran, protoss and zerg - it has been quite the ride.</s></n></s></n>StarCraft II has been a labor of love for us, driven by loyalty and support from our players.</s></n>Thank you for pushing us to new heights and for joining us on this unforgettable journey.</s></n></s></n>"Glhf," and we’ll see you on the battlefield.</s></n></s></n>The StarCraft II Development Team	A tutti i terran, i protoss e gli zerg: ne abbiamo passate tante assieme.</s></n></s></n>StarCraft II è il frutto del nostro amore, reso possibile dalla fedeltà e dal sostegno dei nostri giocatori.</s></n>Grazie di averci spinto verso mete sempre nuove e di averci accompagnato in questo indimenticabile viaggio.</s></n></s></n>"Glhf" e ci vediamo sul campo di battaglia.</s></n></s></n>Il team di sviluppo di StarCraft II
OBOES	OBOI
ONLINE SALES	VENDITE ONLINE
<s val="CreditsSmallHeading">STARCRAFT II</s></n>WINGS OF LIBERTY	<s val="CreditsSmallHeading">STARCRAFT II</s></n>WINGS OF LIBERTY
OPERATIONS	OPERAZIONI
ORCHESTRATION	ORCHESTRAZIONE
Adam Bitterman	Pietro Ubaldi
PAYMENT INVESTIGATION REPRESENTATIVES	INCARICATI INDAGINE PAGAMENTI
PERCUSSION	PERCUSSIONI
PIANO	PIANOFORTE
PIANO/B3	PIANOFORTE/B3
PLATFORM OPERATION DIRECTOR	DIRETTORE OPERAZIONI PIATTAFORMA
PLATFORM TECHNOLOGY	TECNOLOGIA PIATTAFORMA
POLISH (Porting House Sp z o.o.)	POLACCO (Porting House Sp z o.o.)
PUBLIC RELATIONS & COMMUNITY MANAGER OF TAIWAN, HONG KONG AND MACAU	RESPONSABILE PUBBLICHE RELAZIONI E COMUNITÀ TAIWAN, HONG KONG E MACAU
PRESIDENT & CEO OF BLIZZARD ENTERTAINMENT	PRESIDENTE E DIRETTORE GENERALE DI BLIZZARD ENTERTAINMENT
PROCESS & REPORTING ANALYST	ANALISTA PROCEDURE E RAPPORTI
PROCESS IMPROVEMENT MANAGER	RESPONSABILE OTTIMIZZAZIONE PROCESSI
PRODUCER	PRODUTTORE
PRODUCER/DRUMS	PRODUTTORE/PERCUSSIONI
PRODUCERS	PRODUTTORI
PRODUCT DEVELOPERS	SVILUPPATORI PRODOTTO
PRODUCT DEVELOPMENT LEAD	CAPO SVILUPPO PRODOTTO
PRODUCTION ASSISTANTS	ASSISTENTI PRODUZIONE
PRODUCTION LEAD	CAPO PRODUZIONE
PRODUCTION SUPERVISOR	SUPERVISORE PRODUZIONE
PRODUCTION TEAM	SQUADRA PRODUZIONE
PRODUCT LEAD	CAPO PRODOTTO
PROGRAMMERS	PROGRAMMATORI
PROGRAMMING LEADS	CAPI PROGRAMMATORI
PROJECT DIRECTOR	DIRETTORE PROGETTO
PROJECT MANAGER, GLOBAL FACILITIES	RESPONSABILE PROGETTO IMPIANTI MONDIALI
PROJECT PRODUCER	PRODUTTORE PROGETTO
PROJECTS DIRECTOR	DIRETTORE PROGETTI
PROTOOLS OPERATOR/EDITOR	TECNICO PROTOOLS/MONTAGGIO
PUBLIC RELATIONS	PUBBLICHE RELAZIONI
PUBLISHING DEVELOPERS	SVILUPPATORI ATTIVITÀ EDITORIALE
PUBLISHING LEAD	CAPO ATTIVITÀ EDITORIALE
QA ANALYSTS	ANALISTI CQ
QA CONTENT SPECIALISTS	SPECIALISTI CONTENUTI CQ
QA MANAGER	RESPONSABILE CQ
QA TOOLS ANALYSTS	ANALISTI STRUMENTI CQ
QUALITY ASSURANCE	CONTROLLO QUALITÀ
RECORDIST	RECORDISTA
RECRUITMENT	INGAGGIO
REGIONAL AUDIO RECORDING STUDIOS	STUDI REGISTRAZIONE AUDIO REGIONALI
REGIONAL MARKETING	MARKETING REGIONALE
REGIONAL PLANNING AND SUPPORT SERVICES MANAGER	RESPONSABILE SERVIZI REGIONALI PIANIFICAZIONE E ASSISTENZA
REGIONAL PLANNING AND SUPPORT SERVICES PROJECT MANAGERS	RESPONSABILI PROGETTO SERVIZI REGIONALI PIANIFICAZIONE E ASSISTENZA
REGIONAL PLANNING AND SUPPORT SERVICES TEAM REPRESENTATIVES	INCARICATI SQUADRE SERVIZI REGIONALI PIANIFICAZIONE E ASSISTENZA
REGIONAL VICE PRESIDENT OF MARKETING	VICEPRESIDENTE MARKETING REGIONALE
RESEARCHERS	RICERCATORI
RUSSIAN	RUSSO
STARCRAFT II	STARCRAFT II
SCORE PERFORMED BY	COLONNA SONORA ESEGUITA DA
SCORE RECORDED AT	COLONNA SONORA REGISTRATA PRESSO
SCORING MIXER	MISSAGGIO COLONNA SONORA
SECOND ENGINEERS	INGEGNERI AGGIUNTI
SENIOR ADMINISTRATIVE ASSISTANT	ASSISTENTE AMMINISTRATIVO SENIOR
SENIOR DEPARTMENT SUPERVISORS	SUPERVISORI SENIOR DIPARTIMENTO
SENIOR DIRECTOR	DIRETTORE SENIOR
SENIOR DIRECTOR, GLOBAL COMMUNITY AND ESPORTS	DIRETTORE SENIOR COMUNITÀ ED E-SPORT MONDIALI
