Amorphous Armorcloud	Armure de brume
CREATIVE DIRECTOR	DIRECTEUR CRÉATIF
CS PROJECT LEADS	RESPONSABLES PROJET AC
CS PROJECT TEAM ANALYSTS	ANALYSTES DE L’ÉQUIPE PROJET AC
CS PROJECT TEAM MANAGER	MANAGER DE L’ÉQUIPE PROJET AC
CS PROJECT TEAM REPRESENTATIVES	AGENTS DE L’ÉQUIPE PROJET AC
CS TOOLS TEAM MANAGER	MANAGER DE L’ÉQUIPE OUTILS AC
CS TOOLS TEAM REPRESENTATIVES	AGENTS DE L’ÉQUIPE OUTILS AC
CURATOR AND ASSET SERVICES LEAD	RESPONSABLE SERVICES CONSERVATION ET RESSOURCES
CURATORIAL ASSISTANTS	ASSISTANTS CONSERVATION
CUSTOMER CARE AND LOYALTY MANAGER	MANAGER FIDÉLISATION ET SATISFACTION CLIENTÈLE
CUSTOMER SERVICE MANAGER	MANAGER SERVICE CLIENTÈLE
CUSTOMER SUPPORT COORDINATOR	COORDINATEUR ASSISTANCE CLIENTÈLE
CUSTOMER SUPPORT GROUP MANAGERS	MANAGERS DU GROUPE ASSISTANCE CLIENTÈLE
CUSTOMER SUPPORT REPRESENTATIVES	AGENTS ASSISTANCE CLIENTÈLE
CUSTOMER SUPPORT SENIORS	SENIORS ASSISTANCE CLIENTÈLE
CUSTOMER SUPPORT TEAM MANAGERS	MANAGER DE L’ÉQUIPE SERVICE CLIENTÈLE
Confederate Adjutant	Aide de camp confédéré
Cooper	Cooper
DEPARTMENT LEADS	RESPONSABLES DÉPARTEMENT
DEPARTMENT SUPERVISORS	SUPERVISEURS DÉPARTEMENT
DEPUTY GENERAL COUNSEL	CONSEILLER JURIDIQUE ADJOINT
DESIGN DIRECTOR	DIRECTEUR DE LA CONCEPTION
DESIGNERS	CONCEPTION
DIALOGUE RECORDING	ENREGISTREMENT DES DIALOGUES
DIGITAL ARCHIVIST	ARCHIVAGE NUMÉRIQUE
DIRECTOR	DIRECTEUR
DIRECTOR - AUSTIN	DIRECTEUR - AUSTIN
DIRECTOR, BUSINESS OPS, CHINA	DIRECTEUR, OPÉRATIONS COMMERCIALES, CHINE
DIRECTOR, GLOBAL EVENTS	DIRECTEUR, ÉVÈNEMENTS MONDIAUX
DIRECTOR, GLOBAL STAFFING AND RECRUITMENT	DIRECTEUR, ÉQUIPES MONDIALES ET RECRUTEMENT
DIRECTOR, LATIN AMERICAN OPERATIONS	DIRECTEUR, OPÉRATIONS AMÉRIQUE LATINE
DIRECTOR OF AUDIO	DIRECTION AUDIO
DIRECTOR OF BUSINESS DEVELOPMENT AND LICENSING	DIRECTEUR DÉVELOPPEMENT COMMERCIAL ET GESTION DES LICENCES
DIRECTOR OF COMMUNICATIONS AND COMMUNITY	DIRECTEUR DES COMMUNICATIONS ET DE LA COMMUNAUTÉ
DIRECTOR OF SPECIAL PROJECTS	DIRECTEUR DES PROJETS SPÉCIAUX
DIRECTOR, REGIONAL OPERATIONS, NORTH ASIA	DIRECTEUR, OPÉRATIONS RÉGIONALES, ASIE DU NORD
DIRECTORS	DIRECTEURS
DVD/VIDEO PRODUCTION	PRODUCTION DVD ET VIDÉO
Donny Vermillion	Donny Vermillion
Dr. Narud	Dr Narud
EDITOR	ÉDITEUR
EDITORIAL ASSISTANT	ASSISTANT ÉDITORIAL
EDITORS	ÉDITEURS
ENGINEER	INGÉNIEUR
EUROPE CUSTOMER SUPPORT	ASSISTANCE CLIENTÈLE EUROPE
EUROPE REGIONAL PLANNING AND SUPPORT SERVICES TEAM	ÉQUIPE DES SERVICES RÉGIONAUX DE STRATÉGIE ET D’ASSISTANCE EUROPE
EUROPE TEAM	ÉQUIPE EUROPE
EVENTS	ÉVÈNEMENTS
EVENTS SPECIALIST	SPÉCIALISTE ÉVÈNEMENTS
EXECUTIVE PRODUCER	PRODUCTEUR EXÉCUTIF
EXECUTIVES	DIRECTEURS
Earl	Earl
Scott Menville	Benoit Du Pac
Executor Selendis	Exécutrice Sélendis
FACILITIES	INSTALLATIONS
FIDDLE	VIOLON
FLUTES	FLÛTES
FOLEY ARTIST	BRUITEUR
FOLEY MIXER	TECHNICIEN BRUITAGE
FRENCH	FRANÇAIS
<s val="CreditsSmallHeading">GAME DESIGN</s></n>BLIZZARD ENTERTAINMENT	<s val="CreditsSmallHeading">CONCEPTION DU JEU</s></n>BLIZZARD ENTERTAINMENT
GAME DESIGNERS	CONCEPTEURS DU JEU
GAME DESIGN LEADS	RESPONSABLES DE LA CONCEPTION DU JEU
GERMAN	ALLEMAND
GLOBAL COMMUNITY DEVELOPMENT	DÉVELOPPEMENT DE LA COMMUNAUTÉ MONDIALE
GLOBAL CUSTOMER SUPPORT	ASSISTANCE CLIENTÈLE MONDIALE
GLOBAL DIRECTOR	DIRECTEUR MONDIAL
GLOBAL ESPORTS	ESPORT MONDIAL
GLOBAL INFORMATION TECHNOLOGIES MANAGERS	MANAGERS MONDIAUX DE L’INFORMATIQUE
GLOBAL MANAGER	MANAGER MONDIAL
GLOBAL MARKETING	MARKETING MONDIAL
GLOBAL PLANNING AND SUPPORT SERVICES DIRECTOR	DIRECTEUR DES SERVICES DE PLANIFICATION ET D’ASSISTANCE MONDIAUX
GLOBAL PLANNING AND SUPPORT SERVICES PROJECT MANAGERS	GESTIONNAIRES DE PROJET DES SERVICES DE PLANIFICATION ET D’ASSISTANCE MONDIAUX
GLOBAL PLANNING AND SUPPORT SERVICES TEAM	ÉQUIPE DES SERVICES DE PLANIFICATION ET D’ASSISTANCE MONDIAUX
GLOBAL PLANNING AND SUPPORT SERVICES TEAM REPRESENTATIVES	AGENTS DES SERVICES DE PLANIFICATION ET D’ASSISTANCE MONDIAUX
GLOBAL POLICY COUNCIL MANAGER	MANAGER DU CONSEIL DE LA POLITIQUE MONDIALE
GLOBAL STARCRAFT II SUPPORT PROJECT MANAGER	GESTIONNAIRE DE PROJET DE L’ASSISTANCE MONDIALE POUR STARCRAFT II
GLOBAL WORKFORCE AND REPORTING	RAPPORTS ET EFFECTIFS MONDIAUX
GLOBAL WORKFORCE AND REPORTING MANAGER	MANAGER RAPPORTS ET EFFECTIFS MONDIAUX
GUITAR/DOBRO	GUITARE/DOBRO
GUITARS	GUITARES
Gabriel Tosh	Gabriel Tosh
Dave Fennoy	Paul Borne
General Warfield	Général Warfield
Graven Hill	Graven Hill
John Giosa	David Kruger
HARMONICA	HARMONICA
HARP	HARPE
HISTORIANS	HISTORIENS
HORNS	CORS
HUMAN RESOURCES	RESSOURCES HUMAINES
<s val="CreditsSmallHeading_HotS">GAME DESIGN</s></n>BLIZZARD ENTERTAINMENT	<s val="CreditsSmallHeading_HotS">CONCEPTION DU JEU</s></n>BLIZZARD ENTERTAINMENT
<s val="CreditsSmallHeading_HotS">STARCRAFT II</s></n>HEART OF THE SWARM	<s val="CreditsSmallHeading_HotS">STARCRAFT II</s></n>HEART OF THE SWARM
INFORMATION TECHNOLOGIES ADMINISTRATION	ADMINISTRATION DE L’INFORMATIQUE
INFORMATION TECHNOLOGIES ENGINEERING	INGÉNIERIE INFORMATIQUE
INFORMATION TECHNOLOGIES MANAGERS	MANAGERS DE L’INFORMATIQUE
INFORMATION TECHNOLOGIES PURCHASING	ACHATS INFORMATIQUE
IN-GAME CINEMATICS ART DIRECTOR	DIRECTEUR ARTISTIQUE DES CINÉMATIQUES EN JEU
IN-GAME CINEMATICS ARTISTS	CONCEPTEURS GRAPHIQUES DES CINÉMATIQUES EN JEU
IN-GAME CINEMATICS DEPARTMENT LEAD	RESPONSABLE DU DÉPARTEMENT DES CINÉMATIQUES EN JEU
IN-GAME CINEMATICS DEPARTMENT SUPERVISOR	SUPERVISEUR DU DÉPARTEMENT DES CINÉMATIQUES EN JEU
IN-GAME CINEMATICS PROJECT PRODUCER	PRODUCTEUR DE PROJET DES CINÉMATIQUES EN JEU
IN-GAME CINEMATICS SENIOR DEPARTMENT SUPERVISOR	SUPERVISEUR SENIOR DU DÉPARTEMENT DES CINÉMATIQUES EN JEU
IN-GAME SUPPORT MANAGER	MANAGER DE L’ASSISTANCE EN JEU
INTERNAL AFFAIRS REPRESENTATIVES	AGENTS DES AFFAIRES INTERNES
INTERNAL AFFAIRS SENIORS	SENIORS DES AFFAIRES INTERNES
INTERNAL AFFAIRS TEAM MANAGER	MANAGER DE L’ÉQUIPE DES AFFAIRES INTERNES
INTERNAL COMMUNICATIONS	COMMUNICATIONS INTERNES
INTERNATIONAL COMMUNITY & ESPORTS MANAGERS	MANAGERS COMMUNAUTÉ & ESPORT INTERNATIONAUX
INTERNATIONAL OPERATIONS	OPÉRATIONS INTERNATIONALES
ITALIAN (I.S.H. Srl)	ITALIEN (I.S.H. Srl)
Jessica Hall	Jessica Hall
KEYS	CLAVIERS
KOREA CUSTOMER SUPPORT	ASSISTANCE CLIENTÈLE CORÉE
KOREAN	CORÉEN
KOREA REGIONAL PLANNING AND SUPPORT SERVICES TEAM	ÉQUIPE DES SERVICES RÉGIONAUX DE STRATÉGIE ET D’ASSISTANCE CORÉE
KOREA TEAM	ÉQUIPE CORÉE
Jason Marsden	Cédric Dumond
Karass	Karass
Guerin Barry	Francois Siener
Kate Lockwell	Kate Lockwell
LATIN AMERICAN SPANISH	ESPAGNOL AMÉRIQUE LATINE
LATIN AMERICAN SPANISH (Babel Media, Ltd.)	ESPAGNOL AMÉRIQUE LATINE (Babel Media, Ltd.)
LEAD ARTIST	RESPONSABLE DE LA CONCEPTION GRAPHIQUE
LEAD CHARACTERS	PERSONNAGES PRINCIPAUX
LEAD DESIGNER	RESPONSABLE DE LA CONCEPTION
LEAD PRODUCER	RESPONSABLE DE LA PRODUCTION
LEAD PRODUCERS	RESPONSABLES DE LA PRODUCTION
LEAD PROGRAMMER	RESPONSABLE DE LA PROGRAMMATION
LEAD PROGRAMMERS	RESPONSABLES DE LA PROGRAMMATION
LEAD QA ANALYST	RESPONSABLE DES ANALYSTES AQ
LEAD RELIABILITY ENGINEER	INGÉNIEUR EN CHEF FIABILITÉ
LEADS	RESPONSABLES
LEAD SOUND DESIGN	RESPONSABLE DE LA CONCEPTION DU SON
LEAD TECHNICAL ARTIST	RESPONSABLE DE LA CONCEPTION GRAPHIQUE TECHNIQUE
LEAD WEB DESIGNER	RESPONSABLE DE LA CONCEPTION WEB
LEAD WEB DESIGNERS	RESPONSABLES DE LA CONCEPTION WEB
LEAD WEB ENGINEER	RESPONSABLE INGÉNIERIE WEB
LEAD WEB PROGRAMMER	RESPONSABLE DE LA PROGRAMMATION WEB
LEAD WRITERS	RESPONSABLES DE L’ÉCRITURE
LEARNING & ORGANIZATIONAL DEVELOPMENT	FORMATION & DÉVELOPPEMENT ORGANISATIONNEL
LEGAL TEAM	SERVICE JURIDIQUE
LIBRARIAN	BIBLIOTHÉCAIRE
LICENSING	GESTION DES LICENCES
LIVE OPERATION LEAD	RESPONSABLE DES OPÉRATIONS EN DIRECT
LIVE SESSIONS AND ORCHESTRATION PRODUCED BY	SESSIONS EN DIRECT ET ORCHESTRATION MISES EN SCÈNE PAR
LOCALIZATION	LOCALISATION
LOCALIZATION ENGINEERS	INGÉNIEURS EN LOCALISATION
LOCALIZATION QA ANALYSTS	ANALYSTES AQ LOCALISATION
Lee Keno	Lee Kénau
<s val="CreditsSmallHeading_LotV">GAME DESIGN</s></n>BLIZZARD ENTERTAINMENT	<s val="CreditsSmallHeading_LotV">CONCEPTION DU JEU</s></n>BLIZZARD ENTERTAINMENT
<s val="CreditsSmallHeading_LotV">STARCRAFT II</s></n>LEGACY OF THE VOID	<s val="CreditsSmallHeading_LotV">STARCRAFT II</s></n>LEGACY OF THE VOID
MACINTOSH PROGRAMMING	PROGRAMMATION MACINTOSH
MANAGER	MANAGER
MANAGERS	MANAGERS
MANAGING DIRECTOR, EUROPE	DIRECTEUR GÉNÉRAL, EUROPE
MANAGING DIRECTOR, GREATER CHINA	DIRECTEUR GÉNÉRAL, GRANDE CHINE
MANAGING DIRECTOR, NORTH ASIA	DIRECTEUR GÉNÉRAL, ASIE DU NORD
MANAGING DIRECTOR, SOUTHEAST ASIA	DIRECTEUR GÉNÉRAL, ASIE DU SUD-EST
MANAGING DIRECTOR, TAIWAN	DIRECTEUR GÉNÉRAL, TAÏWAN
MARKETING	MARKETING
MARKETING CREATIVE SERVICES	SERVICES CRÉATIFS MARKETING
MIXING	MIXAGE
MOBILE	TÉLÉPHONE PORTABLE
MUSIC	MUSIQUE
MUSIC COPYISTS	COPISTES MUSIQUE
MUSIC LIBRARIAN	BIBLIOTHÉCAIRE MUSIQUE
Marcus Cade	Marcus Cade
Keith Silverstein	Luc Boulad
Matt Horner	Matt Horner
Mike Liberty	Mike Liberty
Kath Soucie	Marie Zidi
NETWORK OPERATIONS	OPÉRATIONS RÉSEAU
NETWORK OPERATIONS ADMINISTRATION	ADMINISTRATION DES OPÉRATIONS RÉSEAU
NETWORK OPERATIONS ENGINEERING	INGÉNIERIE OPÉRATIONS RÉSEAU
NETWORK OPERATIONS MANAGERS	MANAGERS DES OPÉRATIONS RÉSEAU
NORTH/SOUTH AMERICAN CUSTOMER SUPPORT	ASSISTANCE CLIENTÈLE AMÉRIQUE DU NORD/SUD
NORTH/SOUTH AMERICAN REGIONAL PLANNING AND SUPPORT SERVICES TEAM	ÉQUIPE DES SERVICES RÉGIONAUX DE STRATÉGIE ET D’ASSISTANCE AMÉRIQUE DU NORD/DU SUD
<s val="CreditsSmallHeading_Nova">GAME DESIGN</s></n>BLIZZARD ENTERTAINMENT	<s val="CreditsSmallHeading_Nova">CONCEPTION DU JEU</s></n>BLIZZARD ENTERTAINMENT
<s val="CreditsSmallHeading_Nova">STARCRAFT II</s></n>NOVA COVERT OPS	<s val="CreditsSmallHeading_Nova">STARCRAFT II</s></n>NOVA : OPÉRATIONS SECRÈTES
To all terran, protoss and zerg - it has been quite the ride.</s></n></s></n>StarCraft II has been a labor of love for us, driven by loyalty and support from our players.</s></n>Thank you for pushing us to new heights and for joining us on this unforgettable journey.</s></n></s></n>"Glhf," and we’ll see you on the battlefield.</s></n></s></n>The StarCraft II Development Team	À vous, Terrans, Protoss et Zergs : quelle aventure extraordinaire !</s></n></s></n>StarCraft II fut le fruit d’un travail passionné, motivé par votre fidélité et votre soutien indéfectible, vous, nos fans, notre communauté.</s></n>Merci de nous avoir poussés à nous surpasser. Merci d’avoir été à nos côtés lors de ce périple épique et mémorable.</s></n></s></n>Bonne chance, amusez-vous et à bientôt sur le champ de bataille.</s></n></s></n>L’équipe de développement de StarCraft II
OBOES	HAUTBOIS
ONLINE SALES	VENTES EN LIGNE
<s val="CreditsSmallHeading">STARCRAFT II</s></n>WINGS OF LIBERTY	<s val="CreditsSmallHeading">STARCRAFT II</s></n>WINGS OF LIBERTY
OPERATIONS	OPÉRATIONS
ORCHESTRATION	ORCHESTRATION
Adam Bitterman	Cyrille Monge
PAYMENT INVESTIGATION REPRESENTATIVES	AGENTS DE VÉRIFICATION DE LA FACTURATION
PERCUSSION	PERCUSSIONS
PIANO	PIANO
PIANO/B3	PIANO/B3
PLATFORM OPERATION DIRECTOR	DIRECTEUR OPÉRATIONS PLATE-FORME
PLATFORM TECHNOLOGY	TECHNOLOGIE PLATE-FORME
POLISH (Porting House Sp z o.o.)	POLONAIS (Porting House Sp z o.o.)
PUBLIC RELATIONS & COMMUNITY MANAGER OF TAIWAN, HONG KONG AND MACAU	MANAGER DES RELATIONS PUBLIQUES & DE LA COMMUNAUTÉ POUR TAÏWAN, HONG KONG ET MACAO
PRESIDENT & CEO OF BLIZZARD ENTERTAINMENT	PRÉSIDENT DIRECTEUR GÉNÉRAL DE BLIZZARD ENTERTAINMENT
PROCESS & REPORTING ANALYST	ANALYSTE PROCESSUS & RAPPORTS
PROCESS IMPROVEMENT MANAGER	MANAGER AMÉLIORATION DES PROCESSUS
PRODUCER	PRODUCTEUR
PRODUCER/DRUMS	PRODUCTION/PERCUSSIONS
PRODUCERS	PRODUCTEURS
PRODUCT DEVELOPERS	DÉVELOPPEMENT PRODUIT
PRODUCT DEVELOPMENT LEAD	RESPONSABLE DÉVELOPPEMENT PRODUIT
PRODUCTION ASSISTANTS	ASSISTANTS DE PRODUCTION
PRODUCTION LEAD	RESPONSABLE DE LA PRODUCTION
PRODUCTION SUPERVISOR	SUPERVISEUR DE LA PRODUCTION
PRODUCTION TEAM	ÉQUIPE DE PRODUCTION
PRODUCT LEAD	RESPONSABLE PRODUIT
PROGRAMMERS	PROGRAMMEURS
PROGRAMMING LEADS	RESPONSABLES DE LA PROGRAMMATION
PROJECT DIRECTOR	DIRECTEUR DE PROJET
PROJECT MANAGER, GLOBAL FACILITIES	GESTIONNAIRE DE PROJET, INSTALLATIONS MONDIALES
PROJECT PRODUCER	PRODUCTEUR PROJET
PROJECTS DIRECTOR	DIRECTEUR DES PROJETS
PROTOOLS OPERATOR/EDITOR	ÉDITEUR/OPÉRATEUR PROTOOLS
PUBLIC RELATIONS	RELATIONS PUBLIQUES
PUBLISHING DEVELOPERS	DÉVELOPPEMENT ÉDITION
PUBLISHING LEAD	ÉDITEUR EN CHEF
QA ANALYSTS	ANALYSTES AQ
QA CONTENT SPECIALISTS	SPÉCIALISTES AQ CONTENU
QA MANAGER	MANAGER AQ
QA TOOLS ANALYSTS	ANALYSTES OUTILS AQ
QUALITY ASSURANCE	ASSURANCE QUALITÉ
RECORDIST	ENREGISTREMENT
RECRUITMENT	RECRUTEMENT
REGIONAL AUDIO RECORDING STUDIOS	STUDIOS D’ENREGISTREMENT AUDIO RÉGIONAUX
REGIONAL MARKETING	MARKETING RÉGIONAL
REGIONAL PLANNING AND SUPPORT SERVICES MANAGER	MANAGER DES SERVICES RÉGIONAUX DE STRATÉGIE ET D’ASSISTANCE
REGIONAL PLANNING AND SUPPORT SERVICES PROJECT MANAGERS	GESTIONNAIRES DE PROJET DES SERVICES RÉGIONAUX DE STRATÉGIE ET D’ASSISTANCE
REGIONAL PLANNING AND SUPPORT SERVICES TEAM REPRESENTATIVES	AGENTS DES SERVICES RÉGIONAUX DE STRATÉGIE ET D’ASSISTANCE
REGIONAL VICE PRESIDENT OF MARKETING	VICE-PRÉSIDENT DU MARKETING RÉGIONAL
RESEARCHERS	RECHERCHE
RUSSIAN	RUSSE
STARCRAFT II	STARCRAFT II
SCORE PERFORMED BY	BANDE ORIGINALE INTERPRÉTÉE PAR
SCORE RECORDED AT	BANDE ORIGINALE ENREGISTRÉE À
SCORING MIXER	INGÉNIEUR DU SON
SECOND ENGINEERS	ASSISTANTS INGÉNIEURS
SENIOR ADMINISTRATIVE ASSISTANT	ASSISTANT ADMINISTRATIF SENIOR
SENIOR DEPARTMENT SUPERVISORS	SUPERVISEURS DÉPARTEMENT SENIOR
SENIOR DIRECTOR	DIRECTEUR SENIOR
SENIOR DIRECTOR, GLOBAL COMMUNITY AND ESPORTS	DIRECTEUR SENIOR, COMMUNAUTÉ MONDIALE ET ESPORT
SENIOR DIRECTOR, GLOBAL MARKET DEVELOPMENT	DIRECTEUR SENIOR, DÉVELOPPEMENT DU MARCHÉ MONDIAL
SENIOR DIRECTOR OF COMMUNICATION AND COMMUNITY	DIRECTEUR SENIOR DE LA COMMUNICATION ET DE LA COMMUNAUTÉ
SENIOR EDITORIAL MANAGER	MANAGER ÉDITORIAL SENIOR
SENIOR GLOBAL DIRECTOR	DIRECTEUR SENIOR MONDIAL
SENIOR GLOBAL LEARNING AND DEVELOPMENT MANAGER	MANAGER SENIOR FORMATION ET DÉVELOPPEMENT MONDIAUX
SENIOR HISTORIAN	HISTORIENNE SENIOR
SENIOR LEAD	RESPONSABLE SENIOR
SENIOR MANAGER	MANAGER SENIOR
SENIOR MANAGER, GLOBAL NETWORK OPERATIONS	MANAGER SENIOR, OPÉRATIONS RÉSEAU MONDIALES
SENIOR MANAGER OF PUBLIC RELATIONS	MANAGER SENIOR DES RELATIONS PUBLIQUES
SENIOR MANAGERS	MANAGERS SENIOR
SENIOR PRODUCER	PRODUCTEUR SENIOR
SENIOR PRODUCERS	PRODUCTEURS SENIOR
SENIOR REGIONAL PLANNING AND SUPPORT SERVICES MANAGER	MANAGER SENIOR DES SERVICES RÉGIONAUX DE STRATÉGIE ET D’ASSISTANCE
SENIOR SITE MANAGER CUSTOMER SERVICES - IRVINE	RESPONSABLE SENIOR DE SITE, SERVICES À LA CLIENTÈLE - IRVINE
